subgroup,mouse,Vb5,Vb3,Vb6,Vb8,Vb11,Vb14
WT_low,1,0.0099,0.023,12.2,26.3,0.22,9.68
WT_low,2,0.014,0.042,12.1,26.4,0.17,9.57
WT_low,3,0.032,0.029,12.6,26.3,0.25,9.18
WT_low,4,0.012,0.031,12.7,26.6,0.21,9.49
SKG_low,5,0.21,0.066,13.2,26,0.71,11.7
SKG_low,6,0.14,0.11,12.5,26.3,0.68,11.9
SKG_low,7,0.27,0.057,11.6,26.4,0.74,11.1
WT_high,1,0.052,0.081,10.1,23.7,0.6,9.36
WT_high,2,0.054,0.085,9.82,23.6,0.59,9.96
WT_high,3,0.12,0.056,10.5,24,0.69,9.22
WT_high,4,0.067,0.077,9.87,24.3,0.51,9.5
SKG_high,5,0.8,0.55,9.81,22.7,2.8,11
SKG_high,6,0.77,0.71,9.06,22.7,2.58,11.5
SKG_high,7,0.9,0.49,9.23,22.5,2.89,11.6
