gene,mrna,1a,2a,3a,1b,2b,3b,4a,5a,6a,4b,5b,6b
Itm2a,NM_008409,940,1117,1175,2224,2010,3062,1086,921,1130,3669,2711,3195
Sergef,NM_013789,226,220,188,187,212,328,180,160,239,187,148,198
Fam109a,CCDS19642;NM_175474;AK039192,108,91,83,73,103,171,80,60,72,87,83,103
Dhx9,AK169735;AK141824;NM_007842;BC089159,9298,9511,8581,9319,10081,9418,9244,7644,9736,10315,7498,8810
Ssu72,AK004446;BC016544;NM_026899,2301,2166,1881,2394,1978,2752,2419,1735,2222,2584,1744,2356
Eif2b2,NM_145445,1523,1422,1245,1495,1317,1536,1344,1099,1394,1176,975,1168
Mks1,NM_001039684;AK138267;AK170482,244,278,272,203,286,279,329,250,303,284,323,296
Hebp2,BC006898;NM_019487;AK038452,0,0,0,0,1,0,0,0,0,0,0,1
Vps28,NM_025842;AK003572,2541,2784,2521,2623,2666,2632,2769,2264,2910,2493,1914,2336
Setd6,NM_001035123;AK215299;AK215534,521,525,516,594,521,538,667,507,552,439,480,417
Gstm2,NM_008183,0,0,0,0,0,0,0,0,3,0,0,0
Psma4,NM_011966,2688,3096,2144,3244,2818,3366,2429,1893,2790,3227,2043,2942
Pex19,NM_023041;NM_001159525,916,965,1027,1075,883,992,1132,855,1120,1051,854,1039
Katnbl1,AK049599;NM_024254,500.66,470,467.99,469,569,528,536,364,514.82,607,473,536.1
Tsnaxip1,NM_024445;BC100431,0,0,0,0,0,0,0,0,0,0,0,0
Bcl7a,BC017640;NM_029850,590,612,777,568,616,748,709,649,673,624,793,695
Bnip3l,NM_009761;AY057069,5357,4936,4458,6056,5548,7931,5171,4076,4950,5641,4450,5400
Capzb,NM_001037761;NM_001271405;NM_001271406;AK007209;NM_009798;AK182951,8257,7614,7801,9348,8355,10409,8539,6353,8326,7922,5822,7395
Dnajc21,AK082801;NM_030046;AK141303,860,990,951,1111,966,1112,1043,849,958,1050,859,980
Cachd1,AK129397;NM_198037,0,0,0,0,0,0,3,0,0,0,0,0
Gm6654,NR_038089,116.26,339.24,184.68,355.49,232.84,324.96,305.05,225.45,289.66,292.38,164.65,233.97
Snip1,NM_175246;AK078163,1149,935,975,1208,1070,1085,1129,773,1036,1010,825,971
Ptgr1,NM_025968,62,22,26,8,33,54,16,28,23,62,40,59
B9d2,NM_172148;AK146227,211,229,228,217,240,203,263,202,243,269,180,234
Ap5s1,AK002807;NM_027129;AK181010,147,187,280,255,185,202,275,188,247,216,190,185
Ppia,NM_008907;AK012491,41421,51341,41017,38696,39896,46727,46758,35640,48605,45525,29552,40145
Phax,NM_019996;NM_001162989,1053,974,883,979,968,1383,912,786,1004,978,748,1005
Lnx2,NM_080795,1654,1464,1525,1609,1632,2299,1405,1326,1594,1481,1360,1495
4932418E24Rik,NM_177841,0,0,3,0,0,0,0,0,1,0,0,2
Gm10768,NR_033472,0,1,0,0,2,0,0,0,0,0,0,0
Itgb7,NM_013566,24146,22982,24974,23077,21841,26257,25229,21637,23224,19037,16825,18635
Rplp2,NM_026020,30596.62,26316.1,29558.47,31247.99,27093.72,35118.11,32113.44,27948.04,29106.6,20338.9,19777.58,21488.68
Strbp,BC014710;AK043648;X84692;NM_009261,999,1063,1158,1273,1169,1401,1273,1014,1160,1407,1219,1327
Snhg4,AK088959;NR_038073,169,184,156,145,158.22,107,195.36,156,132,148,139.72,109
4930444G20Rik,NM_053264,0,0,0,0,0,0,0,1,0,0,0,0
Dhrs2,NM_027790,0,0,0,0,1,0,0,0,0,0,0,0
Ttll11,NM_029774;BC115858,0,0,0,0,0,0,0,2,0,3,0,0
Fam187b,NR_038860;NM_001242647;NM_175240,0,0,5,0,0,0,0,0,0,2,0,2
B3gnt3,NM_028189;AY037785,10,5,6,5,13,0,21,4,6,12,16,15
4930465K10Rik,NR_027978,0,0,0,0,0,0,1,0,0,0,0,0
Zdhhc23,BC145526;BC145527;BC145684;NM_001007460;AK147553,52,53,48,55,46,32,36,36,22,43,44,45
Psmg2,NM_134138;BC016606,693,758,719,848,857,875,780,653,733,766,671,741
Mettl22,NM_146247,268,293,284,290,222,313,317,248,361,291,199,243
Adrb1,NM_007419,0,3,6,0,0,0,3,0,0,0,0,0
Ifi30,NM_023065,345,220,230,224,181,199,188,221,202,155,142,147
Lrrn4cl,AK158268;NM_001013019;CCDS37909,2,5,0,7,2,0,1,0,1,1,1,2
Hprt,NM_013556,2430,2781,2401,2675,2590,2764,2764,2037,2690,2858,1832,2492
Fabp9,NM_011598,0,0,0,0,0,0,0,0,0,0,2,0
Fignl2,NM_001214911,0,0,0,0,1,0,0,0,0,0,0,0
Tlr9,NM_031178,0,1,1,0,2,0,2,2,0,2,8,0
BC054394,BC054394,0,2,0,17.58,5,0,0.38,2.57,1.71,3,1.85,2.7
Rnf115,AK042216;NM_026406,1848,1695,1649,2120,2131,2422,1874,1452,2004,1902,1500,1835
Hdgf,NM_008231,3210,3089,3202,3597,3407,3899,3473,3041,3466,3450,2850,3321
Chst12,NM_021528;CCDS19820,682,501,636,855,652,885,631,539,584,555,624,639
1700019D03Rik,CCDS14949;AK006523;NM_144953,0,0,0,13,2,0,0,0,0,0,2,3
Sowahc,NM_172939,24,9,22,8,17,0,22,21,17,17,3,9
Nup188,NM_198304;AK052272;BC028665,2328,2131,2515,2292,2554,3083,2646,2257,2393,2396,2134,2449
AK180745,AK180745,305.73,308.32,270.8,290.6,350.75,366.19,310.85,275.95,282.91,281.41,234.08,280.13
Gpx2,NM_030677,0,1,0,0,0,0,0,0,0,0,0,0
Pithd1,NM_025411,870,697,699,954,856,899,742,636,756,806,662,727
Ptprb,AK019450;NM_029928,0,0,0,0,0,0,0,0,0,0,0,0
Ccdc155,NM_201374,0,0,0,5,2,0,0,1,2,1,0,0
Prkag2,AK010703;NM_001170555;NM_145401;AK032238;NM_001170556,571,463,461,689,619,490,841,591,678,735,664,789
Nmt1,NM_008707,2262,2168,2351,2401,2343,2883,2219,1975,2377,2350,1804,2267
Cd22,BC150807;L02844;AK171589;NR_102723;NR_102722;NM_009845;NM_001043317;AJ250684,23,14,73,17,42,41,13,10,8,6,13,12
Gpr111,NM_001033493,0,1,0,0,4,0,0,2,0,1,1,0
Slc15a1,NM_053079;AK085471,30,6,3,0,3,0,17,7,11,14,14,17
Batf3,NM_030060;AK171970,0,2,0,0,0,0,0,0,0,0,0,0
AK017006,AK017006,0,0,0,0,0,0,0,0,0,0,1,0
Fut4-ps1,NR_033644,0,0,0,0,0,0,0,0,0,0,1,0
Slc47a1,NM_026183;AK004994,0,2,0,0,0,0,0,0,5,0,0,0
Sharpin,NM_025340,1180,1124,1107,1342,1298,1454,1344,1115,1103,1090,1163,1155
Pbx4,AK038786;AJ300184;NM_001024954;BC032875,0,0,0,0,1,0,0,0,0,0,0,3
Nup210,AK036378;BC052468;NM_018815,14992,14103,15982,17023,17186,19859,16938,15882,15762,16131,15269,15991
Nos1,BC083183;NM_008712,0,0,0,0,0,0,0,0,0,0,0,0
Sod2,NM_013671;BC066063,1657.38,1260.21,1311.12,1367.15,1396.41,1757.92,1450.89,1183.48,1324.67,1295.78,986.96,1106.47
Cdk6,NM_009873;AK154197,173,110,125,152,229,175,102,116,101,107,140,131.05
C1rl,NM_181344,0,0,0,0,0,0,0,0,0,0,0,0
Tcea2,NM_009326,77,90,120,80,102,55,114,106,76,103,98,94
Fam83h,NM_001168253;NM_134087,16,8,6,14,7,0,7,15,9,7,12,3
Il17ra,NM_008359,4907,4934,5169,7093,6846,7255,5483,5248,5403,6307,6425,6645
Bdkrb1,NM_007539,0,0,0,0,0,0,0,0,0,1,0,0
Sgk1,NM_001161849;NM_001161845;NM_001161848;NM_011361;NM_001161850;AK043284;NM_001161847,3099,3280,3098,3754,3307,3293,4618,3394,4755,3342,3040,3872
Aig1,NM_025446;AK084050;AK162306;AK147713,154,184,184,119,210,227,260,216,239,231,198,215
Atp6v1e1,NM_007510,1458,1426,1200,1184,1297,1140,1377,953,1400,1415,970,1276
D430042O09Rik,AK052528;NM_001081022;AK052492;BC157963,294,337,406,387,472,285,468,401,407,445,426,456
l7Rn6,BC083330;AK008604;NM_026304,617,485,456,646,475,1034,533,401,564,544,392,527
Sufu,AK047603;NM_015752;AK015885;NM_001025391,975,867,1008,1001,1169,1536,954,945,1030,1031,981,1088
AB001425,AB001425,0,1,0,0,0,0,0,1,0,0,2,0
Zscan22,BC026676;AK078591;NM_001001447;AK163694,329,334,338,254,269,346,344,250,364,345,205,262
Gm8994,CCDS51939;NM_001142734,11,19.03,7.01,35.01,9.01,29.01,9.02,24.01,9.03,19.03,17.03,16.02
Dda1,NM_025600;AK149980;AK149117,1434,1534,1465,1556,1599,1972,1470,1383,1526,1344,1296,1484
Ptprk,AK083006;AK052275;AK078614;BC138376;AK019870;NM_008983;BC145261,49,41,32,0,20,31,38,27,30,24,11,25
Mdc1,NM_001010833,2949,2748,3327,2811,3146,3672,3744,3018,2915,3285,3307,3045
Kit,NM_001122733;NM_021099;EF472963,39,16,8,134,92,127,50,36,25,98,72,66
Gata1,S57880;NM_008089,156,112,109,221,261,245,129,84,108,187,224,266
Cnga4,BC107348;NM_001033317,0,1,1,0,0,0,0,0,0,1,0,0
Apol7c,NM_175391,0,0.68,0,0,3.49,0,1.6,0,0.98,0,0,1.05
Neil2,NM_201610;BC115709;BC107389;BC115762,0,14,4,32,11,31,15,10,10,19,24,14
Rad51d,NM_011235;NM_001277942;NR_102718;NR_102719;NM_001277941;NR_102717;NR_102720;NM_001277939;NM_001277938,942,792,853,797,949,1046,959,764,879,917,943,949
H2-Bl,AY989854;AY989823;NM_008199;AY989827;AY989857;AY989826;AY989856;AY989833,386.6,456.34,482.83,390.71,405.4,424.68,594.83,472.59,470.61,538.77,383.96,449.6
Cacfd1,NM_029862;AK169470;NM_001243239;NM_001243240;AK040379,796,708,916,696,741,991,877,706,821,773,709,782
Atp7b,NM_007511,0,9,3,0,4,0,3,3,4,4,2,5
Gli1,AB232675;AB234616;AK157048;NM_010296;BC131649,0,6,4,0,6,0,6,2,4,3,1,2
