"","new.label.label","new_label_numbers"
"1","Il9r",6
"2","H2A",6
"3","9030025P20Rik",6
"4","Cish",6
"5","1700047I17Rik2",6
"6","Ceacam2",6
"7","Pak1",6
"8","5830417I10Rik",6
"9","Zhx2",6
"10","Socs2",6
"11","Spock2",6
"12","Capg",6
"13","Cyfip1",6
"14","Mdfic",6
"15","Arsb",6
"16","Frmd4b",6
"17","Abca1",6
"18","Scd2",6
"19","Serpinb1a",6
"20","Nav1",6
"21","Maged1",6
"22","X57330",6
"23","Tlr2",6
"24","Dstn",6
"25","Akr1e1",6
"26","AI467606",6
"27","Cep290",6
"28","Ldlrad4",6
"29","Evc",6
"30","Gm3435",6
"31","Armcx4",6
"32","Tmtc2",6
"33","Cd163l1",6
"34","Gzma",6
"35","Ube2l6",6
"36","Apol10b",6
"37","Casp1",6
"38","Hemgn",6
"39","Socs1",6
"40","Nucb2",6
"41","Akr1c12",6
"42","Ifitm3",6
"43","Ptpn13",6
"44","Erdr1",6
"45","Scd1",6
"46","M34473",6
"47","H2-Ab1",6
"48","X02969",6
"49","Igh",6
"50","H2-Aa",6
"51","Cd74",6
"52","H2-Eb1",6
"53","Tns4",6
"54","Fgl2",6
"55","Itgae",6
"56","Nt5e",6
"57","Kntc1",6
"58","Tnfsf14",6
"59","Osbpl3",6
"60","Ccr2",6
"61","TRDV5",6
"62","Atp2b4",6
"63","Fcrl1",6
"64","Syk",6
"65","Cybb",6
"66","Nphs2",6
"67","Dst",6
"68","Mical2",6
"69","Bmp7",6
"70","S100a4",6
"71","Ahr",6
"72","Tgm2",6
"73","Apol9a",6
"74","Map6",6
"75","Map7",6
"76","Sardh",6
"77","Il2ra",6
"78","Emp1",6
"79","Rsad2",6
"80","Klrk1",6
"81","M34216",6
"82","D17H6S56E-5",6
"83","Serpina3g",6
"84","Lrrc6",6
"85","Entpd1",6
"86","Gm14403",3
"87","Cap2",3
"88","Rab11fip4os1",3
"89","2010015L04Rik",3
"90","Tubb2b",3
"91","Gtf2ird1",3
"92","Myl10",3
"93","AK040392",3
"94","Gas8",3
"95","Bmf",3
"96","5830411N06Rik",3
"97","Tmtc3",3
"98","Pros1",3
"99","Zdhhc2",3
"100","Art4",3
"101","S100a6",3
"102","Spsb1",3
"103","Sh3bgrl2",3
"104","Drc1",3
"105","Ccdc28b",3
"106","B4galnt4",3
"107","Tmcc3",3
"108","Ccr4",3
"109","E2f2",3
"110","Igh-A_(1g2)",3
"111","Ptger3",3
"112","Tubb2a",3
"113","P2ry1",3
"114","Ankrd50",3
"115","Trps1",3
"116","Angptl2",3
"117","Ankrd6",3
"118","Sh3d19",3
"119","Fbln1",3
"120","Plxna1",3
"121","Sestd1",3
"122","AK040231",3
"123","Tmem176a",3
"124","Wfs1",3
"125","Greb1",3
"126","Sema7a",3
"127","Setbp1",3
"128","Ccr6",3
"129","Ccr8",3
"130","Specc1",3
"131","Atf6",3
"132","Fsd1l",3
"133","Zbtb16",3
"134","Cpd",3
"135","1700097N02Rik",3
"136","Gpat2",3
"137","Rufy3",3
"138","Grm6",3
"139","Auts2",3
"140","Tmem176b",3
"141","Slc39a8",3
"142","Slc1a4",3
"143","Zfp960",3
"144","Gm3417",3
"145","Anxa1",3
"146","Ttc39c",3
"147","Papss2",3
"148","Gm1976",3
"149","Gm4951",3
"150","Gcnt1",3
"151","D830031N03Rik",3
"152","Acacb",3
"153","Gm13251",3
"154","Enpp2",3
"155","Cdc42bpb",3
"156","Dkkl1",3
"157","BC108403",3
"158","Btc",3
"159","Gcat",3
"160","Gfod2",3
"161","Myo5b",3
"162","Gm14326",3
"163","Dnajc6",3
"164","Ccdc136",3
"165","Gm19619",3
"166","Plag1",3
"167","Tfpi",3
"168","4930452B06Rik",3
"169","Spats2l",3
"170","B3galt5",3
"171","AK020768",3
"172","Gm14305",3
"173","Cldn4",3
"174","Tppp",3
"175","Ptk2",3
"176","Pdk1",3
"177","Fam212b",3
"178","Plxdc1",3
"179","AK082813",3
"180","Enthd1",3
"181","Ctsl",3
"182","Cacnb3",3
"183","Firre",3
"184","Ms4a1",3
"185","Cd19",3
"186","Magi1",3
"187","Fbxl21",3
"188","Lyl1",3
"189","Tln2",3
"190","5930430L01Rik",3
"191","Cers6",3
"192","Mettl7a1",3
"193","Slc16a10",3
"194","Dntt",3
"195","Fanci",3
"196","Gabbr2",3
"197","Arl5c",3
"198","Adamts14",3
"199","Lca5",3
"200","Gspt2",3
"201","AK137033",3
"202","Ptrh1",3
"203","Kcnc2",3
"204","Igsf23",3
"205","Pomgnt2",3
"206","Efna5",3
"207","Zfp704",3
"208","Nrep",3
"209","Gm568",3
"210","Gbp11",3
"211","Grip2",3
"212","Tmem180",3
"213","Dlg5",3
"214","Gpr68",3
"215","Bank1",3
"216","Nckap1",3
"217","F2r",3
"218","Rras",3
"219","F2rl2",3
"220","Amica1",3
"221","Stc2",3
"222","Slc6a19",3
"223","Kcnk6",3
"224","Tshz3",3
"225","Cntnap1",3
"226","Ryr1",3
"227","Ccr10",3
"228","Esm1",3
"229","Hdgfrp3",3
"230","Gprin3",3
"231","Abhd15",3
"232","Tspan31",3
"233","Neb",3
"234","Qpct",3
"235","Prelid2",3
"236","Spon1",3
"237","Myo6",3
"238","Sept8",3
"239","Ddc",3
"240","Cdh1",3
"241","Socs3",3
"242","Wnt5b",3
"243","Gpr34",3
"244","Nr1d1",3
"245","V00821",3
"246","abParts",3
"247","Thy1",3
"248","Mcoln2",3
"249","Prkar2a",3
"250","Prf1",3
"251","M13680",3
"252","Rnase4",3
"253","Nacc2",3
"254","Lair1",3
"255","Gyk",3
"256","Gm19705",3
"257","Il18r1",3
"258","Gramd3",3
"259","Hpgds",3
"260","Dhrs13",3
"261","Tmem2",3
"262","Bivm",3
"263","Eya2",3
"264","Pdlim4",3
"265","Slc16a5",3
"266","Tec",3
"267","Slc39a4",3
"268","AK217986",3
"269","Adam6b",3
"270","Ell2",3
"271","Apol7b",3
"272","Pou4f1",3
"273","Snurf",3
"274","Ppp1r3e",3
"275","2900026A02Rik",1
"276","Ltk",1
"277","Plekhg3",1
"278","Fcer1g",1
"279","AK213104",1
"280","Klri1",1
"281","Gzmm",1
"282","Nrp2",1
"283","Fsbp",1
"284","Klrb1a",1
"285","Tyrobp",1
"286","Klrb1c",1
"287","Rhoq",1
"288","Gzmb",1
"289","Ncr1",1
"290","H2-Oa",1
"291","Zc3h12c",1
"292","Gcnt4",1
"293","Rnf128",1
"294","Cd86",1
"295","Gpr55",1
"296","Sytl3",1
"297","Ttn",1
"298","Diap3",1
"299","Ebi3",1
"300","1500004A13Rik",1
"301","She",1
"302","Zeb2",1
"303","Fam110a",1
"304","C1qtnf6",1
"305","V_delta_6,_TcR",1
"306","Gpr15",1
"307","Actg2",1
"308","Adam19",1
"309","Il1rl1",1
"310","Ybx3",1
"311","Cdca3",1
"312","Cpq",1
"313","Fam124b",1
"314","Basp1",1
"315","Cdkn2c",1
