"V1","module"
"Cdkn2c",1
"Cdca3",1
"Tacc3",1
"Foxp3",1
"Ctla4",1
"Tigit",1
"Gzmm",1
"Gzmb",1
"Icos",1
"Irf4",1
"Nrp1",1
"Cxcr5",1
"Mki67",1
"Kit",1
"Tnfsf11",2
"Vav2",2
"Ndrg1",2
"Il17rb",2
"Lag3",2
"Nr4a3",2
"Nr4a1",2
"Ikzf3",2
"Pdcd1",2
"Tnfrsf9",2
"Tnfrsf4",2
"Cd5",2
"Il6st",2
"Folr4",2
"Tox",2
"Il21",2
"Pdcd1lg2",2
"Ccr4",3
"Ccr6",3
"Thy1",3
"Tubb2b",3
"Dtx1",4
"Cxcr4",4
"Egr1",4
"Egr2",4
"Egr3",4
"Cxcr3",4
"Fosb",4
"Tbx21",4
"H2-T3",5
"Il7r",5
"Jun",5
"Fos",5
"Entpd1",6
"Il2ra",6
"Gzma",6
"Nt5e",6
"Tnfsf14",6
