"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itm2a",1702.20787870046,-0.988015454345004,0.139507979258066,-7.08214296844874,1.41942102690912e-12,1.30092532003673e-10
"Sergef",224.146096455397,0.0104775042129593,0.319800588512773,0.0327626170473443,0.973863889472638,0.994631084347528
"Fam109a",103.120169053878,-0.0529942566217086,0.464724505691287,-0.114033703780864,0.909211075945444,0.978503295572774
"Dhx9",9337.90646031725,0.0957051633624591,0.0822881277702871,1.16304946965893,0.244809431845423,0.583168413847992
"Ssu72",2226.33100596835,0.011072912567246,0.134010424662722,0.0826272478063878,0.934147934736041,0.98557675970689
"Eif2b2",1416.55075005107,0.114398527668361,0.138420713746376,0.82645526505498,0.408545884602731,0.728267467328351
"Mks1",259.853254087955,0.231350225379804,0.277391481630313,0.834020655645551,0.40426934427462,0.724101964088834
"Vps28",2622.19894517488,0.154433818042837,0.110353403630698,1.39944771037291,0.161678768266558,0.478216482600597
"Setd6",533.90811076301,0.0899426234503696,0.202063268272005,0.445121096078157,0.656232244090736,0.876195689151467
"Psma4",2869.04807510827,-0.0924658081320195,0.133982081987058,-0.690135626799346,0.490108900621103,0.785465924067749
"Pex19",973.591759387971,0.152056385046034,0.165919996796135,0.916443996999743,0.359434068048507,0.692777098203744
"Katnbl1",498.090484078025,0.0491902787101935,0.209360290247231,0.234955151486012,0.814243542774122,0.943951319408948
"Bcl7a",649.411975930307,0.203546090890137,0.18409874713513,1.10563539436112,0.268884363592782,0.610988922082503
"Bnip3l",5632.22633488563,-0.222395401120469,0.115834693453619,-1.91993775344619,0.054865762434127,0.262284214089455
"Capzb",8550.17762273443,-0.0735416997474306,0.0852529256399309,-0.862629630542381,0.388341133678912,0.712979266404276
"Dnajc21",991.855737122562,-0.0168305227085665,0.163207403014429,-0.103123525022198,0.917864934290751,0.981014341565075
"Gm6654",255.309935321606,-0.455387546391422,0.376924847809818,-1.2081653651584,0.22698366111286,0.56275946585239
"Snip1",1064.84349040122,0.029289967253049,0.150158256462141,0.195060650963497,0.84534546680536,0.956202453690319
"Ptgr1",33.8133489983757,0.455860583794418,0.878239181584852,0.519061997406881,0.60371750822804,0.850631757569321
"B9d2",221.260330936035,0.189023613533209,0.301436221843624,0.627076641211582,0.53060899799466,0.809628444643932
"Ap5s1",208.829149634641,0.0708906352840986,0.352929645915596,0.200863362158735,0.840805416569648,0.954517204570839
"Ppia",43123.8441002438,0.260822127367852,0.0902901995133449,2.88870917080322,0.00386826659666577,0.0389033594650411
"Phax",1029.27850288704,-0.00820936905602322,0.171897333156414,-0.0477573962625312,0.961909590644876,0.992193425184137
"Lnx2",1677.40654793875,-0.067179149211522,0.140014893637973,-0.479800023169124,0.631369596393007,0.863879141593363
"Itgb7",23793.3467082415,0.191733243902556,0.0738949877792722,2.59467183992604,0.00946812705811111,0.0774734343547912
"Rplp2",29778.2408654437,0.0625406240188264,0.0735831237004855,0.84993162662397,0.3953631008803,0.716813214813559
"Strbp",1166.81520152612,-0.084125741350598,0.147685101937626,-0.569629165344845,0.568929242766653,0.831992242743657
"Snhg4",154.294258890116,0.49568064430825,0.359002822012235,1.38071517524549,0.167366553467789,0.48531329600484
"B3gnt3",6.60055309191608,1.33237978450539,1.79795786287933,0.741051729861821,0.458662075580176,0.762380778406976
"Zdhhc23",47.9355902472671,0.401736762849913,0.626509744368572,0.641229871460025,0.521373344579678,0.804335783323845
"Psmg2",785.92942945533,-0.0808747256634195,0.169510288956171,-0.477108063241698,0.63328517324348,0.864673557150561
"Mettl22",277.337077708901,0.217275150987633,0.276552262271182,0.785656747853964,0.432068608964276,0.74548868746256
"Adrb1",1.59250862056438,3.45707850933591,3.97025230265948,0.870745294202129,0.383893241282604,NA
"Ifi30",234.141720740771,0.541950665659039,0.292463022035103,1.85305705277842,0.0638741816322377,0.287887469203253
"Lrrn4cl",2.68958119521033,0.00142756261854166,2.77667596720942,0.000514126471867861,0.999589786443868,NA
"Hprt",2596.6345415945,0.0899610076644404,0.114493651632693,0.785729220630019,0.432026140452447,0.74548868746256
"Tlr9",0.680332448803719,0.737407007831638,3.9894094367864,0.184841144915334,0.853353634900458,NA
"BC054394",3.9012055219683,-2.18428175171836,2.63679630663348,-0.828384713003157,0.407452661176266,0.72703348455633
"Rnf115",1955.41940344499,-0.191410073013175,0.121887461493717,-1.57038362000051,0.116325890853562,0.401325861122546
"Hdgf",3375.1028628213,-0.0270170470258307,0.100944274305665,-0.267643184436807,0.788973986833039,0.936205932950505
"Chst12",692.699224503003,-0.224597519625748,0.17719598318122,-1.26750909130964,0.204973314948071,0.538232421418487
"1700019D03Rik",2.41309988447881,-3.2711793134461,3.51680921302228,-0.930155466305467,0.352290595905333,NA
"Sowahc",13.6894213478044,1.99101786060041,1.39056612588512,1.43180379813516,0.152199979992816,0.463910217595779
"Nup188",2462.2439661583,-0.00801793186644057,0.115702092235676,-0.0692980715517975,0.944752360728179,0.988029588680325
"AK180745",312.560618199337,-0.0142310921788979,0.256689691833385,-0.0554408401726363,0.955787260099866,0.990436299411349
"Pithd1",822.53047505245,-0.0943501618790004,0.165769388354672,-0.569165168644608,0.569244055988058,0.832053773750388
"Ccdc155",1.12845375468567,-2.74898859996079,3.98668648508803,-0.689542207606045,0.490482121654056,NA
"Prkag2",545.976485523049,-0.0907311774811682,0.205893857544027,-0.440669666222397,0.65945215980919,0.877957454778311
"Nmt1",2382.41060981124,0.00539005493724009,0.111768324650704,0.0482252458743115,0.961536730293394,0.992193425184137
"Cd22",34.9102949948083,0.104983246714938,0.795023849082819,0.132050437022804,0.894944398033398,0.974321007020063
"Slc15a1",7.2836843413719,4.12160480064437,1.96450549315945,2.09803679093599,0.0359018954870458,0.200205121933913
"Sharpin",1239.92429211197,-0.0926588995383496,0.140143643560741,-0.66117090425289,0.508502718194997,0.795779232064845
"Nup210",16370.9577478839,-0.0910293556892643,0.0775420543862015,-1.17393531045604,0.240420937678268,0.576544706851424
"Sod2",1447.10413060401,0.0719061068707008,0.150594924692137,0.477480280412499,0.633020159614155,0.864646132783347
"Cdk6",158.947306162462,-0.280956203259758,0.380151806910182,-0.739063179899968,0.459868633685688,0.762462795393698
"Tcea2",88.0531700954258,0.457089986323807,0.502948832677076,0.908820056089656,0.363445118040871,0.696755410212258
"Fam83h",8.64428181799473,1.43225753591765,1.58962670632248,0.901002436748881,0.367587024090019,0.698415345771036
"Il17ra",5957.8817253609,-0.328117604588798,0.0922627326475213,-3.55633954440014,0.000376057984354936,0.00586354783468408
"Sgk1",3291.8561669046,0.0440199047013319,0.112540907207838,0.391145813495503,0.695689458455329,0.895319248485352
"Aig1",178.497161745286,0.125247163933757,0.337755864077813,0.370821582256532,0.710770425324162,0.902470812146285
"Atp6v1e1",1286.87234993022,0.339890404939206,0.139239772531488,2.44104395432233,0.0146448721802337,0.107451748430092
"D430042O09Rik",363.349576041783,0.0412624240776726,0.282528203889515,0.146047097279565,0.883884208744471,0.970600496050959
"l7Rn6",606.352401503302,-0.235203724026697,0.236570382730555,-0.994223035495468,0.320114295757462,0.66036509593672
"Sufu",1077.32178338914,-0.190073109123103,0.159177232415172,-1.19409733565003,0.232439895339469,0.568337591463638
"Zscan22",311.439130215557,0.386277848244597,0.255340732857449,1.51279368521374,0.130332073358092,0.425753814121884
"Gm8994",17.8671847043232,-0.768727383929681,1.0707152598015,-0.7179568768565,0.472783876463552,0.772274512236216
"Dda1",1579.46670673673,-0.0327406194810346,0.132006287574211,-0.248023181946001,0.804116470485097,0.93987616025461
"Ptprk",29.2438980813734,2.09573049319034,1.05399448885369,1.98836949846828,0.0467708395995441,0.237922042564094
"Mdc1",3089.00875571118,0.0802036830138476,0.108502098906687,0.739190152282893,0.459791539787315,0.762453229958187
"Kit",66.1216915876048,-2.53539626057259,0.605022465044883,-4.19058201480917,2.78239816779453e-05,0.000621728830029018
"Gata1",180.088983932046,-0.793164715976342,0.340951291615281,-2.32632852692438,0.0200010313074066,0.134956453670178
"Neil2",14.6774446773557,-2.64491465947828,1.36847909402061,-1.93274027424671,0.0532682011789321,0.25775067074457
"Rad51d",890.553931736096,0.0645784998065176,0.172313191955957,0.374773974490727,0.707828571251192,0.901322306301184
"H2-Bl",423.870375793032,0.28392236506015,0.224565807607122,1.26431698612316,0.206116275217812,0.539542845838674
"Cacfd1",803.216518094777,0.174307755029554,0.169325618166449,1.02942340867882,0.303280753789381,0.643793163922868
"Atp7b",2.78782048458267,2.02202989526555,3.02014215776968,0.669514807461507,0.503167138219691,NA
"Gli1",2.75323755889541,1.57806154957872,3.03552863588947,0.519863832256788,0.603158485331742,NA
"TRAV7-5",45.5911722126996,0.10426907968788,0.744617041718832,0.140030477206365,0.888635910292703,0.972290256330602
"Il10rb",1384.8214773569,-0.0244989257136894,0.134451245501524,-0.182214196843656,0.855414632031461,0.960619581467289
"Fstl3",0.664378566963451,-0.114194627827845,3.99094428616951,-0.0286134357283771,0.977172896310802,NA
"Ccdc71",1234.85540863456,0.104710569159162,0.143122400969217,0.731615515461366,0.464403275476887,0.765879206386779
"Nt5dc1",1686.41496790685,-0.13602140651384,0.141890180388366,-0.958638618553712,0.337740830522926,0.676227578639688
"A930016O22Rik",31.4398917731966,1.13778367877404,0.772170533525195,1.47348756443697,0.140619614570265,0.443414695186534
"4931428F04Rik",95.2172310856888,-0.338862989190199,0.444159725883968,-0.762930471725669,0.445504862289541,0.755322964490897
"Rbbp6",4461.07998777982,-0.079064145244721,0.0976552383891144,-0.809625234129112,0.418155600543617,0.73601994796635
"Gbf1",2842.53816861829,0.0497968755952629,0.105718459178973,0.471032930123972,0.637617219204,0.866239307305806
"Plp1",89.0264936015364,0.0442411894112804,0.468350404326138,0.0944617299411423,0.924742381551527,0.983279277479097
"Gm7030",6.23830825206463,0.697485964318966,1.64553111244599,0.423866774103222,0.6716629767815,0.883685689692638
"AK163592",63.5602657291363,1.09597256671575,0.687356146897771,1.59447554468259,0.110829563924178,0.39019384891142
"Tst",12.9549101684641,0.268862918048692,1.21378638374232,0.221507607639937,0.824697213678069,0.948958155874478
"Nid2",1.78770166404592,-0.966229619479776,3.96904335801727,-0.24344143722392,0.80766344684436,NA
"Fam117b",1796.84042582825,-0.158208925005568,0.124783358790269,-1.26786878105661,0.204844814437576,0.538232421418487
"Pcdhga2",0.829828690752645,-0.52694000794529,3.9839328330466,-0.132266288119704,0.894773671247954,NA
"Ehmt1",2024.24921155235,-0.0940034412228969,0.125572650624421,-0.748598048663116,0.454099508590629,0.760934816447991
"Ubr3",2671.68918386764,0.166876145364259,0.114012246568988,1.46366860040148,0.143284518807342,0.44847524357652
"TCR_alpha",136.758278959306,-0.381852643063659,0.397913489164591,-0.959637341939195,0.337237768403495,0.676051234432164
"AK140218",4.49285205519512,-0.0293889468998234,2.10468220621034,-0.0139636030623078,0.98885901875344,0.998278393639919
"Dnajc7",6236.6101209675,0.0428799861539923,0.0934740877136191,0.458736610357361,0.646423320371692,0.87154901296757
"Tor3a",451.038719639009,-0.011899890731828,0.222489765157615,-0.0534851152519218,0.957345389981999,0.990610043821745
"Ccdc134",574.428992444354,0.0548268820970792,0.194384522408481,0.282053742848237,0.777902301589957,0.930988779988659
"Il4i1",23.5079407206573,-0.571849081397578,0.94745897665665,-0.603560782563371,0.546135692998533,0.819333611373084
"Nup37",290.239057251228,-0.235134850988235,0.292705000459492,-0.803316822804931,0.421791636922645,0.738906757187331
"Sppl2b",502.636892037937,0.149046338366146,0.255520516744285,0.583304778282466,0.559688146440561,0.826765170047802
"Cxcl13",2.88040177803898,-0.0834432332242712,3.35317257542282,-0.0248848609331565,0.980146802721113,NA
"Aimp1",1354.3313296558,0.0465716048154117,0.158850400903693,0.293179019696946,0.769385319711595,0.927882789602771
"Rpl24",14767.5288960643,0.135379340522731,0.117337540837884,1.15375982448596,0.248598649488402,0.588220368998284
