"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itm2a",2810.83457119666,0.561452253566086,0.12573689745656,4.46529431633272,7.99587568204102e-06,0.000384402513520415
"Sergef",206.136593379532,-0.274369452372607,0.252856237725552,-1.08508081446029,0.277885863847163,0.612284779457271
"Fam109a",101.663031975966,-0.161684647564883,0.362171135289954,-0.446431622540648,0.655285494604632,0.872350720810227
"Dhx9",9185.68614717273,0.0406292576789467,0.0948522267019946,0.428342687268641,0.668401644674683,0.879254009227904
"Ssu72",2278.10844030882,0.0687715113725756,0.124115752117913,0.554091726465476,0.579516072035305,0.831797732377321
"Eif2b2",1263.30638813898,-0.225945070615379,0.103189686371618,-2.18960904485822,0.028552602490306,0.183660507508587
"Mks1",280.293817389125,0.409807537338922,0.222738077997546,1.83986295034582,0.0657883606119752,0.300753226576029
"Vps28",2424.51300839042,-0.0745978106355518,0.0935835334298922,-0.797125390562823,0.42537821154577,0.735029860353913
"Setd6",496.249398162181,-0.134984074000799,0.173182567822878,-0.779432224026461,0.435725147816527,0.742307410982424
"Psma4",2906.21679944028,-0.0453428209211333,0.120898540746263,-0.375048537734603,0.707624368975372,0.898541061095403
"Pex19",978.946152327118,0.157921864944931,0.124005619053408,1.27350571813134,0.202838644773799,0.531364728921758
"Katnbl1",529.125475104299,0.20462002323639,0.153059074943892,1.33686959307312,0.181265207743642,0.503132980781815
"Bcl7a",677.032515920098,0.313286978406014,0.176270385823485,1.77730919996814,0.0755173808038032,0.323947776028661
"Bnip3l",5758.2233200509,-0.165443055313152,0.102869431094706,-1.60828200907262,0.107773429077811,0.389439710782611
"Capzb",8092.65234888315,-0.249842700693602,0.0860538421741393,-2.90332998947355,0.00369217373741349,0.0497473199870785
"Dnajc21",1006.60475430189,0.0207189509177654,0.111580673034786,0.185685839260945,0.852691133826686,0.95420758678204
"Gm6654",262.227314841103,-0.250867739950921,0.245149732164065,-1.02332455245364,0.306154418752424,0.635128124728932
"Snip1",1020.56631256466,-0.101925902897816,0.12105834929644,-0.841956820741257,0.399812123280244,0.713665226806224
"Ptgr1",42.6373947442182,0.940195344200849,0.624076373280804,1.50653891807855,0.131928884295065,0.43261403296474
"B9d2",223.086861599232,0.199628999481495,0.222952393246684,0.895388457483914,0.370579468696387,0.693961332292149
"Ap5s1",204.90922609815,0.0439502783327995,0.235628720313294,0.186523435149852,0.852034302730171,0.953911379244023
"Ppia",39682.3695280679,0.0353182742127408,0.0997831305386852,0.353950352349871,0.723376090741052,0.905264095419653
"Phax",996.272140436035,-0.118026447120564,0.143523068758607,-0.822351752519128,0.410876730325664,0.723435679060662
"Lnx2",1625.67523073482,-0.17768791000048,0.125398823435418,-1.416982274096,0.156488110057113,0.469335385318587
"Itgb7",20713.9890176918,-0.216673915303394,0.0636688007836459,-3.40314114034717,0.00066615858777004,0.0137563444873463
