"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itm2a",1057.67176873859,-0.0497741906296306,0.118277311186493,-0.420826193378283,0.673882003267321,0.919379018806742
"Sergef",201.278076651279,-0.136618159729302,0.208117678161436,-0.656446684088642,0.511536761366696,0.857985175456396
"Fam109a",81.8498922884226,-0.419402239159404,0.284550937162428,-1.47390918245333,0.140506045075559,0.5284644201921
"Dhx9",8961.52200590326,-0.0478969045521843,0.0789020892530646,-0.607042285009252,0.543822850488475,0.872505449588758
"Ssu72",2106.26164671949,-0.00517437041896131,0.100851604826007,-0.0513067732326949,0.959081070955802,0.992394011302784
"Eif2b2",1331.2962335177,-0.133428589001435,0.105873165724636,-1.26026824727682,0.207572610448621,0.620908174429573
"Mks1",277.820433203651,0.141821344026307,0.16447352690735,0.862274596362227,0.388536428611156,0.782833631930352
"Vps28",2619.48243416942,0.00976055699865032,0.0905206955474519,0.107826800706958,0.914133082940463,0.984382112293601
"Setd6",545.059871073391,0.135802784812366,0.124741206955713,1.08867621315048,0.276296694940363,0.697657073047734
"Psma4",2493.30806913011,-0.168364434511717,0.134251316907145,-1.25409894212186,0.209806044841926,0.622540792238639
"Pex19",996.574654651675,0.0850158844783465,0.108353810235558,0.784613704802115,0.432680092297532,0.81492139776961
"Katnbl1",471.482737503569,-0.0367958331779037,0.139304302985445,-0.264139961144978,0.791672072456335,0.952630256722474
"Bcl7a",666.837847321672,0.0361408974105609,0.138660392460977,0.260643264952045,0.794367621934286,0.953257530670154
"Bnip3l",4799.05095567752,-0.0626042272777488,0.0831958962039981,-0.752491771039306,0.451755376671138,0.82571186778456
"Capzb",7765.39249158409,-0.0383921712046539,0.0757175818810244,-0.507044338327917,0.612123708785358,0.89616018226449
"Dnajc21",938.072303230334,0.0179172803291399,0.108855710118996,0.164596605079821,0.869261503524646,0.974076780297776
"Gm6654",242.007432168532,0.339022339659317,0.298348833296207,1.13632869253666,0.255819026788336,0.677122507144281
"Snip1",991.633214166014,-0.0704751913782777,0.118752560821996,-0.593462497907026,0.552871673633667,0.874686854002197
"Ptgr1",29.5381196120367,-0.685365062367378,0.557429068594326,-1.22951080412019,0.218880349558966,0.633398996790836
"B9d2",228.122001798241,0.0748841953668514,0.175337514710482,0.427085986079479,0.66931669977242,0.9174964600286
"Ap5s1",219.102940367754,0.19420037467606,0.240220548831215,0.808425322566848,0.418845779424103,0.806775979783065
"Ppia",43896.6782614545,-0.042773649158406,0.102426756465715,-0.417602300749642,0.676237914335791,0.920621994166853
"Phax",931.330759766093,-0.111645212151688,0.11476550025908,-0.972811619342504,0.330646936746188,0.741528918384121
"Lnx2",1490.22170675325,-0.102887733372244,0.101873302257214,-1.00995777198298,0.312515522009615,0.729202884689101
"Itgb7",23614.4123881449,-0.0439317887676457,0.06545052416754,-0.671221343547827,0.502079533756202,0.854003417898535
"Rplp2",29169.3294452662,0.0430026690821205,0.0738837369732748,0.582031592387855,0.560545401173413,0.875551819873363
"Strbp",1106.01819906101,0.0907971520252412,0.103414150494154,0.877995434777312,0.379946196183352,0.777388729018459
"Snhg4",164.777740978381,-0.0806146797935131,0.222229818947813,-0.362753658240814,0.716788912469457,0.93256839436687
"B3gnt3",8.39777241444136,0.509674015921917,0.937959126560527,0.543386168425994,0.586863946943211,0.885598007142283
"Zdhhc23",41.1841673407079,-0.697100065266749,0.413533154476364,-1.68571747566274,0.091850229252447,0.436338112796671
"Psmg2",719.992661929578,-0.0083360072302884,0.112471803659503,-0.0741164181515647,0.94091775139585,0.987880738447912
"Mettl22",293.461705385117,0.121859504917143,0.169467909317115,0.719071270827532,0.472097007595666,0.838179008649204
"Adrb1",1.96394994181677,-1.68322542307232,2.21643786718271,-0.759428201437401,0.447596448756603,0.823682724211614
"Ifi30",234.258626438229,-0.367006276403734,0.223014137796956,-1.64566372351638,0.0998330116421846,0.451537673464446
"Lrrn4cl",1.48669341240334,-1.86818360347085,2.29250681612916,-0.81490863640058,0.415124609253781,NA
"Hprt",2502.36115177658,-0.0355438194284869,0.0987255455758661,-0.360026568819243,0.718827264932465,0.933241509305817
"Tlr9",1.01204417670394,1.00975024686553,2.57966768080621,0.39142648271267,0.695482020344825,NA
"BC054394",0.871213206459799,0.646402264189924,2.98576370649865,0.216494782484963,0.82860209170689,NA
"Rnf115",1742.98369835397,0.0287067477501018,0.0993353459690097,0.288988249550745,0.772590369610178,0.94885270779813
"Hdgf",3235.38657910531,0.0677678188571028,0.0739632918885294,0.916235839789772,0.359543211472683,0.761738230654534
"Chst12",592.897681948497,-0.0543215687568864,0.137261118880806,-0.395753503977028,0.692286880610391,0.925055488910769
"1700019D03Rik",0,NA,NA,NA,NA,NA
"Sowahc",19.1125559595171,0.133294223913413,0.609440266259634,0.218715813990254,0.82687142943975,0.962681719943685
