"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Itm2a",2097.61474919143,-1.59182124305905,0.0872422488276478,-18.2459904971476,2.22664068586726e-74,1.34520906579038e-71
"Sergef",184.121681768251,0.124062050540976,0.208256196344228,0.595718411834975,0.551363356141247,0.774399081076498
"Fam109a",80.3179717479085,-0.354745239827793,0.306414002429972,-1.15773181713152,0.246973495519289,0.505053632761642
"Dhx9",8807.20665688904,0.01773969505628,0.0717221097155029,0.247339281103796,0.804645661033762,0.917606686542711
"Ssu72",2152.91464795362,-0.0501690747386117,0.078623722002616,-0.638090813570775,0.523414566170187,0.754221179318111
"Eif2b2",1185.41726713741,0.22017895150823,0.0931111858931519,2.3646885107971,0.0180452410731357,0.0841072643258164
"Mks1",296.671508459769,-0.0267221603568182,0.174461586477081,-0.153169307332469,0.878264761230582,0.949271172749394
"Vps28",2430.7932871448,0.249895332262972,0.0781385560870645,3.19810532440004,0.00138333746016745,0.0112143146052041
"Setd6",508.928876944267,0.376318463369578,0.139904525124003,2.68982338516952,0.00714898433782824,0.0421073186137544
"Psma4",2524.99541999721,-0.18635279930062,0.0887478855362211,-2.09979987888909,0.0357464489173109,0.140103551873316
"Pex19",1000.6566085308,0.0860892798823924,0.0986346330115138,0.872809856476508,0.382766726318433,0.643370622257812
"Katnbl1",500.006642598117,-0.190856080608145,0.13409958123024,-1.42324143638046,0.154666177427466,0.379178703965654
"Bcl7a",691.787398478674,-0.0377931481458594,0.123139306813714,-0.306913763961927,0.758909012239059,0.895906494102211
"Bnip3l",4910.84999176622,-0.112795295825302,0.0631109110754905,-1.78725507052784,0.0738962721662871,0.233621438599958
"Capzb",7325.73035816084,0.14819700299245,0.0601841046852978,2.46239441073969,0.0138012803711535,0.0697041576707106
"Dnajc21",950.721106216001,-0.00678510573261587,0.100368045317617,-0.0676022504089248,0.946102263932557,0.976826938726312
"Gm6654",248.360013821087,0.28432728496169,0.185467325186861,1.53303167916627,0.125268049640268,0.329178903435393
"Snip1",948.60821935227,0.0681605698402464,0.103104247155411,0.661084016621612,0.508558434875751,0.743705746208054
"Ptgr1",37.8027692799148,-1.25343437838125,0.475400275706696,-2.63658740314777,0.0083744622852261,0.0478530058192439
"B9d2",229.628807573581,0.0734115425717559,0.186321057431484,0.394005613663671,0.693576894689549,0.863652745382263
"Ap5s1",215.178896245036,0.265427163870087,0.195378422569366,1.35852854363102,0.17429603170451,0.409271470337797
"Ppia",40620.1230489768,0.208125826837726,0.0658790610784892,3.15921058118546,0.00158197138905831,0.0125274315936921
"Phax",899.222105969621,0.00193436971079251,0.106130160948847,0.0182263900619621,0.985458249906215,0.99312962241323
"Lnx2",1439.47330903338,0.00686389621510898,0.0897968419090103,0.0764380580562516,0.939070592209025,0.974789773393244
"Itgb7",20690.3201435408,0.375522204562078,0.0539501266189058,6.96054352596243,3.38962412463758e-12,1.51958167029247e-10
"Rplp2",25077.0883955874,0.545182655438386,0.0580245856807212,9.39571819501201,5.68287831958693e-21,5.95856836699168e-19
"Strbp",1226.16006068304,-0.18782684173928,0.0915123697285267,-2.05247489816374,0.0401235321247236,0.152363739020164
"Snhg4",146.169594153534,0.294189441747657,0.228478697386744,1.28760118607331,0.197884826264309,0.442546234940118
"B3gnt3",12.115163874576,-0.771893279552884,0.83455373214204,-0.924917413731616,0.355008867803755,0.61834122814748
"Zdhhc23",37.7084656483088,-0.503187333744896,0.450146318395854,-1.11783061014041,0.263639345450014,0.522950652864967
"Psmg2",720.567132904124,0.00368889833478021,0.11150286641346,0.0330834394974344,0.973608048887733,0.987254609740968
"Mettl22",274.019735292118,0.34996336544802,0.178809679661159,1.95718356025912,0.0503258909329844,0.179399993893446
"Adrb1",0.458983231026157,1.49546511963812,4.03411594479604,0.370704545953186,0.710857604037994,NA
"Ifi30",176.411992673197,0.471939066221781,0.21401020248135,2.20521760528173,0.0274388283663943,0.115313324003591
"Lrrn4cl",0.975044569970049,-1.11832633359094,2.61552226574738,-0.427572859247438,0.668962129315871,NA
"Hprt",2418.75147706643,0.0836287702978604,0.0811740839518981,1.03023977883652,0.302897460689624,0.56687713287642
"Tlr9",2.43614047612697,-0.778599319628396,1.90844726498282,-0.407975286461692,0.683291818774432,NA
"BC054394",1.5054591709811,-1.28124763205994,2.21436249447996,-0.578607899679426,0.56285377320418,NA
"Rnf115",1747.12504746724,0.0332504227419567,0.0844903731850514,0.39354096198784,0.693919976172748,0.86381664393742
"Hdgf",3250.96842109063,0.0678908219292795,0.0708907754140342,0.957682033138535,0.33822311933213,0.603521338251299
"Chst12",594.501818136137,-0.038742969532762,0.127739560934303,-0.303296560982292,0.761663866778536,0.897069205144754
"1700019D03Rik",0.846302300655407,-2.60391577398485,3.4416045467872,-0.756599353175441,0.449289928982033,NA
"Sowahc",14.6900207484883,1.26022356029892,0.760155883014416,1.65784885502888,0.0973479774972257,0.280757851899819
"Nup188",2369.3594223308,0.0767359067573505,0.0769995493786388,0.99657604981567,0.318970335999035,0.583641787723201
"AK180745",275.861461692445,0.140685480709213,0.171436857011876,0.820625641191424,0.41185953769353,0.668012392004409
"Pithd1",717.644213664,-0.0272763546839587,0.114524540431281,-0.238170391963507,0.811748940214615,0.919933792273588
"Ccdc155",0.667846312225965,1.55643986176426,3.52386585278038,0.441685332753575,0.658716924808728,NA
"Prkag2",711.039997972173,-0.0497245128039762,0.121742858510733,-0.408438847356228,0.682951517988397,0.857202800625128
"Nmt1",2152.5766390516,0.051318949827333,0.0836735931013641,0.613323127706062,0.539662703918013,0.765696736334981
"Cd22",10.3797283082405,0.0452895622617476,0.845024394492245,0.0535955678403356,0.957257387789624,0.981753152233851
"Slc15a1",13.1499876992571,-0.419080999971122,0.74783540019011,-0.560392032611168,0.575212064913166,0.789532414596263
"Sharpin",1159.51336913215,0.072019853062938,0.102907321184026,0.699851596896073,0.484019988165665,0.727821569179208
"Nup210",15971.7608739996,0.0487428991366437,0.0558194154735431,0.873224821921443,0.382540547875116,0.643246114100941
"Sod2",1216.32380377752,0.240914267967409,0.0939840646390514,2.56335229693084,0.0103666799173698,0.0559192466461187
"Cdk6",116.797375284878,-0.2260193071492,0.255093830750982,-0.886024199345832,0.375604487153123,0.637668155829208
"Tcea2",98.4975051299251,0.00161903113137173,0.280405645347635,0.00577388921455031,0.995393128537096,0.997673615243335
"Fam83h",9.07842786408854,0.603391970822192,0.910580875140843,0.66264511730368,0.507557867339073,0.743472732361286
"Il17ra",5912.75385829674,-0.250871356594282,0.0611278261640578,-4.10404511884623,4.05988231855927e-05,0.000520806137265535
"Sgk1",3808.85312130092,0.321079584948828,0.0726653280749603,4.41860779349413,9.93387315323177e-06,0.000147577340392332
"Aig1",225.424285403943,0.162792839514108,0.185301312927463,0.878530415906085,0.379655939039054,0.64137082537796
"Atp6v1e1",1217.7952215872,0.0363593179003793,0.0950362764073106,0.382583569925961,0.702028554382711,0.867535830746785
"D430042O09Rik",432.518104778991,-0.045930793496223,0.140191335709456,-0.327629330755603,0.743191942189532,0.888227290358935
"l7Rn6",488.736285441875,0.0465132622173686,0.132679874446703,0.35056757787371,0.725912783740944,0.877778830282249
"Sufu",1003.32661902546,-0.0684431747794091,0.0992197640273964,-0.68981392417453,0.49031121112053,0.732091130456181
"Zscan22",291.540552429785,0.262769539690968,0.176076295527889,1.49236181340121,0.135604320124502,0.348120600853817
"Gm8994",15.9291528250875,-0.431464409256051,0.702437356095371,-0.614238985885412,0.539057414597539,0.765376556318998
"Dda1",1414.37403105429,0.100827444587751,0.0874896330113874,1.15245019458051,0.249136124866499,0.507349922340493
"Ptprk",25.4945034788106,0.730826261618221,0.547801995204505,1.33410660789103,0.182168920556701,0.420713771949816
"Mdc1",3210.76074707148,0.0116676491516238,0.0767048869356943,0.152110896942008,0.879099469704843,0.949410377487278
"Kit",57.3237424694383,-1.10228652170411,0.367641189964411,-2.9982672012644,0.00271519504854892,0.0193962159802591
"Gata1",165.500293653529,-1.06779213300682,0.239353654424779,-4.46114823512081,8.15216740513067e-06,0.000123126842701063
"Neil2",15.3399704899807,-0.682479057235415,0.692793847067186,-0.985111314317474,0.324569396365903,0.589437722830549
"Rad51d",898.682367920631,-0.10255020820182,0.10847100842583,-0.945415827602838,0.344446624841523,0.609030907290739
"H2-Bl",480.834164074214,0.181990578545269,0.136196410218095,1.33623623599068,0.181472070629824,0.420057682919281
"Cacfd1",774.230591990754,0.0957872944031325,0.109400616485206,0.875564484740222,0.381266839771041,0.642456743025332
