"gene","module"
"Il9r",6
"H2A",6
"9030025P20Rik",6
"Cish",6
"1700047I17Rik2",6
"Ceacam2",6
"Pak1",6
"5830417I10Rik",6
"Zhx2",6
"Socs2",6
"Spock2",6
"Capg",6
"Cyfip1",6
"Mdfic",6
"Arsb",6
"Frmd4b",6
"Abca1",6
"Scd2",6
"Serpinb1a",6
"Nav1",6
"Maged1",6
"X57330",6
"Tlr2",6
"Dstn",6
"Akr1e1",6
"AI467606",6
"Cep290",6
"Ldlrad4",6
"Evc",6
"Gm3435",6
"Armcx4",6
"Tmtc2",6
"Cd163l1",6
"Gzma",6
"Ube2l6",6
"Apol10b",6
"Casp1",6
"Hemgn",6
"Socs1",6
"Nucb2",6
"Akr1c12",6
"Ifitm3",6
"Ptpn13",6
"Erdr1",6
"Scd1",6
"M34473",6
"H2-Ab1",6
"X02969",6
"Igh",6
"H2-Aa",6
"Cd74",6
"H2-Eb1",6
"Tns4",6
"Fgl2",6
"Itgae",6
"Nt5e",6
"Kntc1",6
"Tnfsf14",6
"Osbpl3",6
"Ccr2",6
"TRDV5",6
"Atp2b4",6
"Fcrl1",6
"Syk",6
"Cybb",6
"Nphs2",6
"Dst",6
"Mical2",6
"Bmp7",6
"S100a4",6
"Ahr",6
"Tgm2",6
"Apol9a",6
"Map6",6
"Map7",6
"Sardh",6
"Il2ra",6
"Emp1",6
"Rsad2",6
"Klrk1",6
"M34216",6
"D17H6S56E-5",6
"Serpina3g",6
"Lrrc6",6
"Entpd1",6
"Gm14403",3
"Cap2",3
"Rab11fip4os1",3
"2010015L04Rik",3
"Tubb2b",3
"Gtf2ird1",3
"Myl10",3
"AK040392",3
"Gas8",3
"Bmf",3
"5830411N06Rik",3
"Tmtc3",3
"Pros1",3
"Zdhhc2",3
"Art4",3
"S100a6",3
"Spsb1",3
"Sh3bgrl2",3
"Drc1",3
"Ccdc28b",3
"B4galnt4",3
"Tmcc3",3
"Ccr4",3
"E2f2",3
"Igh-A_(1g2)",3
"Ptger3",3
"Tubb2a",3
"P2ry1",3
"Ankrd50",3
"Trps1",3
"Angptl2",3
"Ankrd6",3
"Sh3d19",3
"Fbln1",3
"Plxna1",3
"Sestd1",3
"AK040231",3
"Tmem176a",3
"Wfs1",3
"Greb1",3
"Sema7a",3
"Setbp1",3
"Ccr6",3
"Ccr8",3
"Specc1",3
"Atf6",3
"Fsd1l",3
"Zbtb16",3
"Cpd",3
"1700097N02Rik",3
"Gpat2",3
"Rufy3",3
"Grm6",3
"Auts2",3
"Tmem176b",3
"Slc39a8",3
"Slc1a4",3
"Zfp960",3
"Gm3417",3
"Anxa1",3
"Ttc39c",3
"Papss2",3
"Gm1976",3
"Gm4951",3
"Gcnt1",3
"D830031N03Rik",3
"Acacb",3
"Gm13251",3
"Enpp2",3
"Cdc42bpb",3
"Dkkl1",3
"BC108403",3
"Btc",3
"Gcat",3
"Gfod2",3
"Myo5b",3
"Gm14326",3
"Dnajc6",3
"Ccdc136",3
"Gm19619",3
"Plag1",3
"Tfpi",3
"4930452B06Rik",3
"Spats2l",3
"B3galt5",3
"AK020768",3
"Gm14305",3
"Cldn4",3
"Tppp",3
"Ptk2",3
"Pdk1",3
"Fam212b",3
"Plxdc1",3
"AK082813",3
"Enthd1",3
"Ctsl",3
"Cacnb3",3
"Firre",3
"Ms4a1",3
"Cd19",3
"Magi1",3
"Fbxl21",3
"Lyl1",3
"Tln2",3
"5930430L01Rik",3
"Cers6",3
"Mettl7a1",3
"Slc16a10",3
"Dntt",3
"Fanci",3
"Gabbr2",3
"Arl5c",3
"Adamts14",3
"Lca5",3
"Gspt2",3
"AK137033",3
"Ptrh1",3
"Kcnc2",3
"Igsf23",3
"Pomgnt2",3
"Efna5",3
"Zfp704",3
"Nrep",3
"Gm568",3
"Gbp11",3
"Grip2",3
"Tmem180",3
"Dlg5",3
"Gpr68",3
"Bank1",3
"Nckap1",3
"F2r",3
"Rras",3
"F2rl2",3
"Amica1",3
"Stc2",3
"Slc6a19",3
"Kcnk6",3
"Tshz3",3
"Cntnap1",3
"Ryr1",3
"Ccr10",3
"Esm1",3
"Hdgfrp3",3
"Gprin3",3
"Abhd15",3
"Tspan31",3
"Neb",3
"Qpct",3
"Prelid2",3
"Spon1",3
"Myo6",3
"Sept8",3
"Ddc",3
"Cdh1",3
"Socs3",3
"Wnt5b",3
"Gpr34",3
"Nr1d1",3
"V00821",3
"abParts",3
"Thy1",3
"Mcoln2",3
"Prkar2a",3
"Prf1",3
"M13680",3
"Rnase4",3
"Nacc2",3
"Lair1",3
"Gyk",3
"Gm19705",3
"Il18r1",3
"Gramd3",3
"Hpgds",3
"Dhrs13",3
"Tmem2",3
"Bivm",3
"Eya2",3
"Pdlim4",3
"Slc16a5",3
"Tec",3
"Slc39a4",3
"AK217986",3
"Adam6b",3
"Ell2",3
"Apol7b",3
"Pou4f1",3
"Snurf",3
"Ppp1r3e",3
"2900026A02Rik",1
"Ltk",1
"Plekhg3",1
"Fcer1g",1
"AK213104",1
"Klri1",1
"Gzmm",1
"Nrp2",1
"Fsbp",1
"Klrb1a",1
"Tyrobp",1
"Klrb1c",1
"Rhoq",1
"Gzmb",1
"Ncr1",1
"H2-Oa",1
"Zc3h12c",1
"Gcnt4",1
"Rnf128",1
"Cd86",1
"Gpr55",1
"Sytl3",1
"Ttn",1
"Diap3",1
"Ebi3",1
"1500004A13Rik",1
"She",1
"Zeb2",1
"Fam110a",1
"C1qtnf6",1
