,primerid,Pr(>Chisq),coef,FDR
1,0610005C13Rik,0.028482824625969162,,0.045158247531560655
2,0610009B22Rik,0.03197745109157422,-0.0031647070322119025,0.05036375672148346
3,0610009O20Rik,6.543908237972172e-08,0.005791222576090854,1.6496425253556695e-07
4,0610010F05Rik,1.0,0.0002696475925306023,1.0
5,0610010K14Rik,7.861496414828967e-07,-0.018117845161448792,1.79428010973854e-06
6,0610012G03Rik,2.325436368478111e-17,0.0731524042513926,2.538876894558014e-16
7,0610030E20Rik,1.685463144185131e-11,0.0274411606600293,6.464059816572386e-11
8,0610031O16Rik,0.06179562660672298,-0.004941088649283313,0.09362481102248438
9,0610037L13Rik,3.342460786031217e-13,0.017207674153720737,1.6738946733523002e-12
10,0610038B21Rik,0.023145873940365984,-0.008327193744372267,0.0370109057847916
11,0610039K10Rik,0.32093996307637696,,0.407948516612257
12,0610040B10Rik,6.349229552071044e-05,-0.004368761032067282,0.00012540590292758782
13,0610043K17Rik,0.7984319713308081,-0.001244732886295498,0.8376414958432205
14,1010001B22Rik,0.4551766955132885,,0.5283382839590757
15,1110002L01Rik,0.17450320067352715,0.0012197344125735102,0.24294754630434046
16,1110004E09Rik,2.1805814942144062e-11,-0.06262278583301509,8.232722593015985e-11
17,1110004F10Rik,1.4814957811726954e-18,0.031497653922535895,2.0214446877955575e-17
18,1110006O24Rik,0.0031305081006068897,0.009558924197063232,0.005410087892796753
19,1110008F13Rik,2.2049933584999649e-35,0.11709431864007697,1.3790686968862676e-33
20,1110008L16Rik,0.06348154046671674,0.007783035079294728,0.09600020266203049
21,1110008P14Rik,1.188631166023383e-19,0.07460020632417069,1.9699352490138133e-18
22,1110012L19Rik,4.3462220153920994e-08,0.00698374600178512,1.115985151342181e-07
23,1110019D14Rik,0.6607808364340065,0.0016655915492018898,0.7180841828123938
24,1110020A21Rik,0.3535512526163436,-0.005880735082629707,0.43843400445568825
25,1110032A03Rik,1.5823143556864352e-08,-0.0010342980719924982,4.2566658280065995e-08
26,1110032F04Rik,1.8733403957342466e-15,0.01828649094552707,1.4195894161095811e-14
27,1110034G24Rik,1.073047749114497e-07,0.02048749974993236,2.652300784739016e-07
28,1110035H17Rik,0.03471731403772301,0.005106945450443805,0.054474141744739184
29,1110038F14Rik,1.2166872937005929e-16,-0.0480506888184814,1.1558111184556422e-15
30,1110046J04Rik,0.4106677195861424,,0.49043107137719544
31,1110051M20Rik,0.03747875994063349,0.0032170051900446174,0.05857433513109861
32,1110059E24Rik,9.141930083289726e-08,-0.023905128850911464,2.2775731364677465e-07
33,1110059G10Rik,7.111640946590922e-10,0.0011946555318176622,2.216394614741369e-09
34,1110065P20Rik,1.706733648366021e-05,0.012030306764565506,3.507355410008199e-05
35,1190002N15Rik,0.14987292055039084,-0.0017067095487718368,0.21203106528633592
36,1190005I06Rik,0.26588607632111305,,0.350249703593158
37,1190007I07Rik,6.240661304628893e-12,0.02593710271354477,2.5590444872219482e-11
38,1300002E11Rik,5.620631051177112e-11,0.0035629605894264005,2.0121305980152823e-10
39,1300014J16Rik,0.6427902566316192,0.003627010134141488,0.701290309192694
40,1300017J02Rik,0.4684232510191623,0.00395428314136973,0.5404913745376795
41,1500002C15Rik,0.15058761430965625,,0.2129114162221838
42,1500011B03Rik,4.547984510212748e-12,0.0002061432071299163,1.903762625686269e-11
43,1500011K16Rik,2.5440293741562188e-14,-0.0924357643229734,1.559568923530102e-13
44,1500015A07Rik,0.0004420967952604918,-0.010771730774395,0.0008160606175334559
45,1500035N22Rik,0.8912965564727569,,0.9149276645797582
46,1600002K03Rik,1.2494787416104467e-17,-0.026804610415971625,1.4272971212016193e-16
47,1600012H06Rik,1.3417028944377746e-08,-0.002891498689758021,3.634852490576033e-08
48,1600014C10Rik,4.0269077625047784e-13,0.0314385576406353,1.987854253333609e-12
49,1600020E01Rik,3.6354727381937107e-10,0.014919527825208848,1.1702259941153579e-09
50,1700001C19Rik,0.3011443815617494,,0.3872376632195088
51,1700001J03Rik,0.295397792092002,,0.3810876528282179
52,1700001L05Rik,0.9865919961735922,,0.9934198711380047
53,1700001O22Rik,0.1584567456840685,,0.22294270550134312
54,1700003F12Rik,0.49118888240053515,,0.5613703268182733
55,1700008J07Rik,0.04876557338922147,-0.005822915354151154,0.07494304596239927
56,1700008O03Rik,0.06607342673706894,,0.09965810828893135
57,1700010I14Rik,0.00403246787992553,0.009107945678115965,0.006912659188432428
58,1700011D18Rik,0.553534227960804,,0.6176097916430604
59,1700016G14Rik,0.5637612728003628,,0.6271980290282207
60,1700016K19Rik,0.12526245210715434,,0.17997688285084068
61,1700016L21Rik,0.029816954902356925,,0.04715445659729718
62,1700017B05Rik,9.21634304872876e-07,-0.015719494406724793,2.0897029793229813e-06
63,1700017M07Rik,0.16125365581086526,-0.0014776596983288276,0.22637091515516752
64,1700018A23Rik,0.11296047933469829,,0.1639862684752436
65,1700018B08Rik,0.43906918489037533,,0.5136533452014193
66,1700018L02Rik,0.34594443680445225,,0.43124494999198587
67,1700019C18Rik,0.853062476798889,,0.8828521894870246
68,1700019D03Rik,0.8555550423745585,-0.0007502271422298373,0.8848759200614448
69,1700019J19Rik,0.3202269840859896,,0.40726696485430147
70,1700019L13Rik,0.7528192667450014,-0.0015551021359013015,0.7988051628813597
71,1700020D05Rik,0.5773073842566225,,0.6406698245841057
72,1700020I14Rik,2.582638693168315e-19,0.06219284155018029,4.010924945727242e-18
73,1700020L24Rik,1.0,,1.0
74,1700021A07Rik,0.20608556208179354,,0.28155724415286654
75,1700021F05Rik,4.274321425880754e-12,0.010922037250544012,1.798509986904755e-11
76,1700022I11Rik,0.2799433490567349,,0.36427951145379306
77,1700022N22Rik,0.040849363339895015,-0.005953889996532289,0.06346896358858238
78,1700025G04Rik,6.777417683548364e-05,0.0285880749085339,0.0001336149867665176
79,1700026D11Rik,0.3606848446805796,-0.003069188626100632,0.4446878761906178
80,1700027A07Rik,0.36792423031588756,,0.4503930349827398
81,1700027F09Rik,0.5581104828716239,,0.6222135097799311
82,1700028J19Rik,0.5162354046570934,-0.0014855796773070595,0.5852050982670668
83,1700028K03Rik,0.03675824622918175,,0.05748076472222538
84,1700029I15Rik,0.2270984280025704,,0.306586275415428
85,1700029J07Rik,0.23460457749444855,-0.001169264354346185,0.3152057257339486
86,1700030K09Rik,0.057501756094932494,0.0055852410329327844,0.08752221922080795
87,1700034P13Rik,0.3515751722062451,-0.0012757188083767931,0.4365318029316134
88,1700037C18Rik,4.09066783469588e-06,0.00020711290643572744,8.815280762576622e-06
89,1700037H04Rik,2.3309307448374423e-12,0.01041013010331962,1.0192383661861161e-11
90,1700040D17Rik,0.12296781278166133,,0.17714029268036716
91,1700040L08Rik,0.9066633699898131,,0.9273451830140628
92,1700041G16Rik,0.2730838434448785,0.0020789735099129834,0.3574056994861052
93,1700042O10Rik,0.009635184512240193,,0.015995378372349742
94,1700047I17Rik2,0.840112921660961,,0.8722332158940737
95,1700048O20Rik,0.24340216526267397,,0.3245205679811594
96,1700052K11Rik,2.449147168375822e-07,0.024819514608835525,5.860822742605716e-07
97,1700055D18Rik,0.6867082264628699,0.0005303193417897185,0.7419433366817625
98,1700056E22Rik,1.98102551763584e-09,-0.02993521588430842,5.850798013838159e-09
99,1700056N10Rik,0.4052884786309444,-0.0010263374310964064,0.4853909844586183
100,1700061G19Rik,0.32478526768190413,-0.002320300551197625,0.41135241706095077
101,1700064H15Rik,0.3390580970043342,,0.425075829187656
102,1700065D16Rik,0.5008727427626284,,0.5710213667490143
103,1700066B19Rik,0.8986822210121135,0.0009892266227820197,0.9210043492866784
104,1700066M21Rik,0.546031420661259,-0.0012850732538576622,0.6104704599514618
105,1700067K01Rik,0.20710745150232227,,0.2827577236927201
106,1700082M22Rik,0.6108201810620928,,0.6714455656624977
107,1700084C06Rik,0.2142739589614551,0.004056697663954567,0.2914193309815244
108,1700084E18Rik,0.17694912758379625,-0.004623045936870164,0.24600591847346928
109,1700086O06Rik,0.896821213306313,-0.0009903639185088872,0.9196078760973
110,1700086P04Rik,0.11892722238071726,,0.17178514659277605
111,1700088E04Rik,0.4556309611656155,,0.5287767544274675
112,1700096K18Rik,0.004132748885885764,0.0007979983470957665,0.007079297942832202
113,1700097N02Rik,4.183301548433371e-09,-0.018708078879866696,1.1949079149089904e-08
114,1700102H20Rik,0.744714456789088,,0.7917031904751797
115,1700102P08Rik,0.930545507781953,0.00021601899643704215,0.9463016537717954
116,1700104B16Rik,0.3066233121073156,,0.3931126444622313
117,1700105P06Rik,0.9221096519057801,0.0002285783686523273,0.9392335746972507
118,1700109H08Rik,0.20274267117877398,,0.27756628377902276
119,1700113A16Rik,7.856484317820833e-05,-0.03099944966933312,0.00015414098827667787
120,1700123O20Rik,8.17461249091522e-18,-0.012584883085201726,9.715347708463471e-17
121,1700124L16Rik,0.30262431971678644,,0.3887790080049653
122,1810006J02Rik,0.19560212971413682,0.006575345177730948,0.2691187094079721
123,1810009A15Rik,4.745797240608841e-09,-0.027154392011077055,1.346119627738465e-08
124,1810011H11Rik,0.6306443068682113,,0.6904915723647351
125,1810012K16Rik,0.2806974518365636,-0.0012458574566696777,0.36508894130845787
126,1810013L24Rik,2.289412951508834e-07,0.015381665165451214,5.493796148568594e-07
127,1810019N24Rik,0.32234684106376904,,0.40939796353794133
128,1810021B22Rik,0.09291624477308838,,0.13712239325791456
129,1810022K09Rik,1.0761113810770424e-15,-0.02188353517582209,8.523788830513972e-15
130,1810024B03Rik,0.0589412245313641,,0.08954557105655249
131,1810030O07Rik,4.211955399384373e-09,0.022731983727551947,1.2023471195846922e-08
132,1810032O08Rik,6.4858555534526546e-12,-0.029799215804247298,2.649940746669305e-11
133,1810034E14Rik,0.00010330381574161489,-0.009102250244364653,0.00020079670105197596
134,1810037I17Rik,1.101612764837816e-16,0.024137263758481575,1.0588658995541231e-15
135,1810041H14Rik,1.330236958712101e-07,-0.0009748797424780631,3.2646546951915233e-07
136,1810043G02Rik,0.0025037478226487128,-0.011539659536177551,0.004365687196247068
137,1810044D09Rik,0.0011241573013371121,-0.01441548049130792,0.0020137509355989585
138,1810055G02Rik,0.29880545541850323,-0.0027352321756992162,0.3846594956500467
139,1810058I24Rik,6.380475385913326e-13,0.06054715944051836,3.0410665787618617e-12
140,1810062G17Rik,0.17269988320847965,-0.0021875841861030212,0.2408007450527192
141,1810062O18Rik,0.11792472101491187,0.0037881740780585284,0.1704796040025219
142,2010013B24Rik,0.2617806245461576,,0.3456894805079765
143,2010015M23Rik,0.5322720458598085,,0.5980866773330845
144,2010107E04Rik,1.5999793252220128e-06,-0.08413175959782437,3.554880924806086e-06
145,2010109A12Rik,0.0009294942713135131,0.013341102866733803,0.0016787494862270191
146,2010111I01Rik,8.075888195429505e-12,-0.010117861324094049,3.254371038986199e-11
147,2010300C02Rik,0.1251256723507307,-0.00151437364680484,0.17979904805403882
148,2010300F17Rik,0.5149348299699235,0.0005372140835216708,0.5840684304014379
149,2010315B03Rik,2.238810383611305e-08,-0.0007540979979876877,5.913402851571844e-08
150,2010320M18Rik,0.0019252232645854614,0.010937782145820557,0.0033846904048715656
151,2200002D01Rik,0.3580557969446619,0.002805168025213297,0.44219507017236565
152,2210011C24Rik,0.9710516174920495,,0.9800566233643745
153,2210016F16Rik,9.266580273764979e-18,0.07180506115858684,1.088213020764482e-16
154,2210016L21Rik,2.4627280336647927e-08,-0.00375011402187847,6.470219897607825e-08
155,2210406O10Rik,0.9670913133471492,,0.9765587473030608
156,2210408I21Rik,0.9611931395376896,0.00014831388484279557,0.9723076386629058
157,2210411M09Rik,0.2638595560065463,,0.3481686666465378
158,2210417A02Rik,0.3266203444536024,,0.4127773979187796
159,2210418O10Rik,0.11121358876000383,,0.1616737719647426
160,2300009A05Rik,2.5702850104164834e-15,0.03049700805744003,1.8967687887867928e-14
161,2310001H17Rik,1.1398331516949845e-20,0.09975964702170204,2.2571309201616153e-19
162,2310001K24Rik,0.38379279321060916,,0.46484262072879773
163,2310009B15Rik,5.836976005184347e-09,-0.010487856195658729,1.6391442979207244e-08
164,2310011J03Rik,1.0720996325635373e-15,0.009732702836615592,8.49688137688831e-15
165,2310022A10Rik,5.533491754781994e-06,0.007305332842240553,1.178488798684079e-05
166,2310022B05Rik,0.043644101522258665,0.0064686482839507375,0.0675454900056723
167,2310026I22Rik,0.6292029967580131,,0.6892410699943935
168,2310026L22Rik,0.4110873766843409,,0.4908050203447318
169,2310031A07Rik,0.13289174110960555,,0.19008238859729537
170,2310033P09Rik,2.2750274574467462e-15,-0.040956739909344286,1.6979173605199203e-14
171,2310034G01Rik,0.7013250867083267,,0.753905377856781
172,2310035C23Rik,3.4236915512415994e-20,0.04235080282017151,6.243042826023929e-19
173,2310039H08Rik,2.199175787768386e-13,-0.0699878032462522,1.1406006656110556e-12
174,2310040G24Rik,0.6800570846301137,-0.0005462267432032129,0.7359076977810564
175,2310043M15Rik,0.47505617604525213,,0.546502410761338
176,2310044K18Rik,0.1333427594231225,0.004796954271249758,0.19065517955378078
177,2310057M21Rik,7.107124727734806e-14,-0.02808189844999734,4.0592842143285325e-13
178,2310061I04Rik,4.4413698923028955e-15,-0.006415019006672185,3.135271432656314e-14
179,2310068J16Rik,0.9969581386895745,-0.00021779938601351571,1.0
180,2310074N15Rik,0.018672994535698543,,0.030176327659584386
181,2410002F23Rik,4.1159511061729125e-07,-0.031509409256918475,9.626171944081555e-07
182,2410004B18Rik,2.3834761930640547e-08,0.029743986852205098,6.275125322005974e-08
183,2410004P03Rik,0.3952157736141414,,0.4758010994595125
184,2410015M20Rik,1.901264806430598e-08,-0.11298584080114349,5.0673509746401324e-08
185,2410089E03Rik,2.691050423928674e-08,0.033237642838360726,7.048644866314598e-08
186,2410131K14Rik,0.00157730767007124,0.013345596666131582,0.002788991507704321
187,2510002D24Rik,3.2272429275179776e-16,0.017783175272430896,2.8001852946737905e-15
188,2510009E07Rik,0.43755175781908223,0.003830356710066319,0.5126109099126843
189,2510017J16Rik,0.360749902743843,-0.004203394443523272,0.4446878761906178
190,2510039O18Rik,6.813875117951137e-05,0.009963555603620979,0.00013431457769583658
