,primerid,Pr(>Chisq),coef,FDR
1,0610005C13Rik,0.023559523595614848,-0.003286978936883919,0.03740835555871205
2,0610009B22Rik,0.04225523203396221,-0.004253381450502108,0.06514799968471006
3,0610009O20Rik,4.59555129306296e-08,0.007548023469110918,1.1659271287209294e-07
4,0610010F05Rik,0.9604293430029112,0.0003856091296973985,0.969760711446142
5,0610010K14Rik,5.600266139011335e-07,-0.016237346581596576,1.2879680295077316e-06
6,0610012G03Rik,3.956166109742255e-16,0.07519743465139464,3.296089690708707e-15
7,0610030E20Rik,1.765913367664429e-11,0.03113485682828504,6.674770790830343e-11
8,0610031O16Rik,0.0647732153995332,-0.005121863470989556,0.0974312094082433
9,0610037L13Rik,1.8757157402276618e-13,0.016071391337821206,9.67032561037924e-13
10,0610038B21Rik,0.020818436604863717,-0.010269709954092498,0.033262331609343
11,0610039K10Rik,0.39386029822383584,,0.4737400282855788
12,0610040B10Rik,2.7077303426712553e-05,-0.00641927947727592,5.455721398892434e-05
13,0610043K17Rik,0.7656722764023852,-0.0014327961196804028,0.8111536908433946
14,1010001B22Rik,0.43180860087654976,,0.5011525449396504
15,1110002L01Rik,0.13844548442098797,0.0017376391576648942,0.19648767693468486
16,1110004E09Rik,5.24667686512125e-11,-0.05690832216699876,1.8556695913435496e-10
17,1110004F10Rik,5.488712900725008e-19,0.02937318950728518,7.83729232580796e-18
18,1110006O24Rik,0.00859934594452942,0.009483280080744637,0.014246692993561745
19,1110008F13Rik,3.3370013628149e-36,0.11166110695378702,2.1141198706513587e-34
20,1110008L16Rik,0.04835838601572187,0.00812580986522664,0.07405380140807752
21,1110008P14Rik,1.8216213463113097e-20,0.0740519126022538,3.3216952834716255e-19
22,1110012L19Rik,2.828430881349506e-07,0.005520114881551491,6.688549468265676e-07
23,1110019D14Rik,0.618638115377425,0.0019462543110660997,0.677372310258159
24,1110020A21Rik,0.26646562537182406,-0.007322447322835808,0.35150676406655396
25,1110032A03Rik,3.0657677853184936e-08,-0.001896860713955839,7.923530727126444e-08
26,1110032F04Rik,3.2791986073046678e-15,0.017554695971001087,2.3363444922765525e-14
27,1110034G24Rik,1.08049895453735e-07,0.018438329691761568,2.6536601184546555e-07
28,1110035H17Rik,0.07912985225229179,0.0042034629573336705,0.11773227317881346
29,1110038F14Rik,3.0119711890549875e-16,-0.049845482556972354,2.566674832004811e-15
30,1110046J04Rik,0.4114832554243211,,0.4876489488921285
31,1110051M20Rik,0.016477004510645422,0.003664581591459413,0.026593061270933596
32,1110059E24Rik,1.4326146627408544e-08,-0.02496426008732472,3.8345468374136505e-08
33,1110059G10Rik,6.077836970060775e-10,0.0013359665593065534,1.8797910628816296e-09
34,1110065P20Rik,4.67550514503488e-05,0.012166553976236331,9.282509640142504e-05
35,1190002N15Rik,0.24482563211888708,-0.0022492731273025847,0.3264499215847248
36,1190005I06Rik,0.2640914394901402,,0.3489468564071131
37,1190007I07Rik,5.698494798482785e-12,0.024693641219708795,2.3207010932418694e-11
38,1300002E11Rik,3.06607085202235e-11,0.001638331971785506,1.1193669127483602e-10
39,1300014J16Rik,0.514279415637309,0.004789237179226653,0.5781983148640706
40,1300017J02Rik,0.5802590553020869,0.005642008224747052,0.6420895574722156
41,1500002C15Rik,0.16577386709348918,,0.23177085039742454
42,1500011B03Rik,3.6114094040731e-12,-0.0053857323867931295,1.507607997073343e-11
43,1500011K16Rik,4.2263864640000615e-15,-0.09298609279129777,2.9384866048998415e-14
44,1500015A07Rik,0.0007743787427805079,-0.00923640309476511,0.0014009768301979292
45,1500035N22Rik,0.8920939911295677,,0.9141169208535018
46,1600002K03Rik,1.201511520744207e-16,-0.032269779531621606,1.1198443856862055e-15
47,1600012H06Rik,1.2301134854597244e-08,-0.0024982938206084063,3.3137066061244024e-08
48,1600014C10Rik,2.861369828397132e-13,0.03337550276943568,1.4272772922448633e-12
49,1600020E01Rik,1.249877120607886e-09,0.015233065584080108,3.742591326049004e-09
50,1700001C19Rik,0.303391966922811,,0.38769489262334145
51,1700001J03Rik,0.29196373775395745,,0.3768346982197404
52,1700001L05Rik,0.945216611706665,,0.9576226867786646
53,1700001O22Rik,0.16949914699731966,,0.23643326367917572
54,1700003F12Rik,0.38675582560161653,,0.46914874609464835
55,1700008J07Rik,0.04019227766552579,-0.0037904894226056043,0.06211983248271245
56,1700008O03Rik,0.07713856714943781,,0.11489324085555275
57,1700010I14Rik,0.005462160488874189,0.01008237319309499,0.009213812823678185
58,1700011D18Rik,0.5821732814018936,,0.6438279508324034
59,1700016G14Rik,0.5627594787013888,,0.6256302995745673
60,1700016K19Rik,0.11552768687848987,,0.16633580083692573
61,1700016L21Rik,0.02286636991898013,,0.03636205303959311
62,1700017B05Rik,8.553688811696729e-07,-0.01591111101397656,1.9353263505528266e-06
63,1700017M07Rik,0.13280774220712982,-0.002516012417661911,0.18910771739847002
64,1700018A23Rik,0.09860246326007166,,0.1442357124754694
65,1700018B08Rik,0.39464756620056257,,0.4743873815996162
66,1700018L02Rik,0.3188615592552382,,0.40300882150931805
67,1700019C18Rik,0.896713123274918,,0.9182374270192559
68,1700019D03Rik,0.8613698281618681,-0.0006241643336779056,0.8902904183693517
69,1700019J19Rik,0.26990916803788234,,0.3549990028184994
70,1700019L13Rik,0.8330228580577795,-0.0009161773078736192,0.866844768144025
71,1700020D05Rik,0.4963801162229879,,0.5604906434469519
72,1700020I14Rik,1.525798625241873e-18,0.06420358870069148,2.0085322474374446e-17
73,1700020L24Rik,0.9317751891212801,,0.946497880799172
74,1700021A07Rik,0.21204247169713605,,0.2874228737665798
75,1700021F05Rik,7.756381271961409e-12,0.009347764942078882,3.0985173971401904e-11
76,1700022I11Rik,0.2790657242807179,,0.3628641995303935
77,1700022N22Rik,0.05357600959791748,-0.006429668474277249,0.08155719199155455
78,1700025G04Rik,1.9691127613589006e-05,0.023811259362939118,4.011951147921982e-05
79,1700026D11Rik,0.3210645902291867,-0.002916611907201698,0.4051634041949985
80,1700027A07Rik,0.3849821924006856,,0.46755327856623113
81,1700027F09Rik,0.5669365183508897,,0.6296276877692366
82,1700028J19Rik,0.322847433423092,-0.0032601440635405907,0.4068912608294611
83,1700028K03Rik,0.046288677410680414,,0.07101810402602117
84,1700029I15Rik,0.3332447540685361,,0.4173712387400604
