,Gini Coefficient,Cluster #,Total Cells,Subgroup,Mouse
00,0.016197646982483493,0,2673,SKG_High,1
01,3.3306690738754696e-16,1,1468,SKG_High,1
02,0.0015211368284889781,2,3282,SKG_High,1
03,0.006492948056414871,3,918,SKG_High,1
04,0.004120737415226006,4,725,SKG_High,1
05,-2.220446049250313e-16,5,350,SKG_High,1
06,0.0,6,217,SKG_High,1
07,1.1102230246251565e-16,7,178,SKG_High,1
08,3.3306690738754696e-16,8,78,SKG_High,1
10,0.002224318483535881,0,3140,SKG_Low,1
11,0.001672231403100355,1,1791,SKG_Low,1
12,0.0006151948579945499,2,3249,SKG_Low,1
13,2.220446049250313e-16,3,135,SKG_Low,1
14,-1.1102230246251565e-15,4,295,SKG_Low,1
15,0.01252201311959289,5,473,SKG_Low,1
16,5.551115123125783e-16,6,271,SKG_Low,1
17,2.220446049250313e-16,7,156,SKG_Low,1
18,0.0,8,6,SKG_Low,1
20,0.020313675716574386,0,3132,WT_High,2
21,0.010298853969907595,1,1249,WT_High,2
22,0.0033111849390916603,2,4214,WT_High,2
23,0.006859097007143933,3,1303,WT_High,2
24,0.0051279312002558974,4,970,WT_High,2
25,0.011692591149064069,5,338,WT_High,2
26,0.0026737582518953085,6,373,WT_High,2
27,-6.661338147750939e-16,7,118,WT_High,2
28,1.1102230246251565e-16,8,99,WT_High,2
30,0.0013881123405857787,0,3597,WT_Low,2
31,0.0006609379541206994,1,1512,WT_Low,2
32,-2.220446049250313e-16,2,4135,WT_Low,2
33,1.1102230246251565e-16,3,358,WT_Low,2
34,2.220446049250313e-16,4,391,WT_Low,2
35,0.00987455793764902,5,401,WT_Low,2
36,0.0,6,437,WT_Low,2
37,-2.220446049250313e-16,7,108,WT_Low,2
38,0.0,8,11,WT_Low,2
40,0.002800095725122076,0,2849,SKG_High,3
41,0.0007593005651429507,1,1316,SKG_High,3
42,0.001165158491441165,2,3429,SKG_High,3
43,0.002450950726812895,3,814,SKG_High,3
44,0.001203365936605194,4,830,SKG_High,3
45,0.007182436207859855,5,416,SKG_High,3
46,-4.440892098500626e-16,6,245,SKG_High,3
47,0.0,7,158,SKG_High,3
48,2.220446049250313e-16,8,86,SKG_High,3
50,0.010864165980356666,0,3914,SKG_Low,3
51,0.0016602010954742674,1,1804,SKG_Low,3
52,0.0025759573038424133,2,3872,SKG_Low,3
53,2.220446049250313e-16,3,135,SKG_Low,3
54,0.0026881328768123547,4,371,SKG_Low,3
55,0.036175213675213924,5,540,SKG_Low,3
56,0.0,6,331,SKG_Low,3
57,2.220446049250313e-16,7,156,SKG_Low,3
58,0.0,8,8,SKG_Low,3
60,0.00956888136856704,0,3624,WT_High,4
61,0.0013550085540672274,1,1474,WT_High,4
62,0.00023126732029343788,2,4323,WT_High,4
63,0.001669439729304445,3,1196,WT_High,4
64,0.0010729588949331959,4,931,WT_High,4
65,3.3306690738754696e-16,5,335,WT_High,4
66,0.004140733056713586,6,482,WT_High,4
67,1.1102230246251565e-16,7,136,WT_High,4
68,0.0,8,90,WT_High,4
70,0.01708647025388843,0,2817,WT_Low,4
71,0.00668835245106425,1,1188,WT_Low,4
72,0.0009047029781982241,2,3313,WT_Low,4
73,0.01190126359094934,3,332,WT_Low,4
74,-2.220446049250313e-16,4,325,WT_Low,4
75,0.006600073334147916,5,301,WT_Low,4
76,0.0029069271819001097,6,343,WT_Low,4
77,0.0,7,98,WT_Low,4
78,0.0,8,7,WT_Low,4
