gene,logfoldchange,adj_p_value,T.4N_Nr4a1_percent,other_percent
Nr4a1,6.0999722,2.2250738585072014e-308,0.7374606853170005,0.08420667935033806
Ptma,0.903191,2.2250738585072014e-308,0.9925509021685152,0.9795448926724926
Cd5,1.8347912,2.2250738585072014e-308,0.813441483198146,0.46310448980469293
Hsp90ab1,0.9433305,2.2250738585072014e-308,0.9755007449097831,0.9295088839444068
Eif5a,1.0047791,2.2250738585072014e-308,0.9119351100811124,0.8203970634076081
eGFP,5.9522867,2.2250738585072014e-308,0.4020857473928158,0.012522438274590736
Ptpn6,1.6392635,2.2250738585072014e-308,0.6520443635159742,0.34197542807390924
Id3,2.5551865,2.2250738585072014e-308,0.4817083264360205,0.14868917480893876
Cd6,1.4636189,2.2250738585072014e-308,0.7015394802185069,0.3835520729203616
Tnfrsf9,5.4708176,2.2250738585072014e-308,0.3638470451911935,0.01576859823933443
Nfkbia,1.5122911,2.2250738585072014e-308,0.6929316338354577,0.4659636903034407
Dusp2,1.8931937,2.2250738585072014e-308,0.5422943221320974,0.23857125966055057
Sept7,1.1099447,2.2250738585072014e-308,0.7758649230259891,0.5679167607193146
Hspa5,1.1551694,2.2250738585072014e-308,0.7543453070683661,0.5343695247922781
Ncl,1.0842446,2.2250738585072014e-308,0.7917563317331567,0.632829211140133
B4galnt1,1.0579699,2.2250738585072014e-308,0.7864591954974341,0.6058495372609719
Set,1.4066596,2.2250738585072014e-308,0.610826022181758,0.37344813130824545
Atp5g3,0.6312505,2.2250738585072014e-308,0.916239033272637,0.8487848397880322
Zfp36l1,1.0736729,2.2250738585072014e-308,0.7619599404072174,0.572442036696656
Eif4a1,0.9263976,2.2250738585072014e-308,0.776361529548088,0.6033772962282201
Nab2,3.2763493,2.2250738585072014e-308,0.3355404734315511,0.04718755710339342
Tuba1b,0.83736306,5.513546993514599e-301,0.8354577056778679,0.7225393140068578
Ran,0.81793094,7.963975348755728e-281,0.7861281244827015,0.6643879053669128
Ephx1,1.7744404,5.860184732114279e-280,0.43651713292501243,0.16749970440596348
Cd69,1.5008495,3.046724286144104e-265,0.5467637808309882,0.3421904055550181
Ptprc,0.5407965,4.640627016388621e-258,0.9562986260552888,0.9077746606043017
Slc25a5,0.70513535,2.441184292343786e-256,0.8316503890084423,0.725871464964045
Itm2a,1.8871682,1.544127126530438e-252,0.44115212713126967,0.2128492040458762
Egr1,3.9710565,1.8467719950869797e-249,0.28703856977321635,0.03009684735523954
Npm1,0.5399454,2.449729601919522e-241,0.9385863267670915,0.9044102630249481
Hnrnpa2b1,0.45416537,9.792394614110744e-233,0.964409865916239,0.9312824481635549
