gene,log_fold_change,p_value,adj_p_value
Nr4a1,0.5884591,8.302223771862668e-15,1.1069188910549059e-12
Ptma,-0.19858125,6.1595180419374486e-15,8.554543973910793e-13
Cd5,-0.40114027,1.0376954102508383e-22,2.5064103923536915e-20
Hsp90ab1,-0.05462348,0.0625094563129946,0.6462542749119087
Eif5a,-0.14852862,1.2872067237521304e-05,0.0005363146814513251
eGFP,0.5536512,5.896672560889635e-13,6.685302374135147e-11
Ptpn6,-0.004005391,0.725439233416207,1.0
Id3,-0.37314916,1.5183609149553266e-05,0.0006263614606100365
Cd6,-0.26798758,7.565132399287092e-11,6.7422725436641e-09
Tnfrsf9,-0.46378815,1.2787350916651556e-06,6.457999708391358e-05
Nfkbia,0.40100944,5.461367536871944e-10,4.550957568475391e-08
Dusp2,0.77111596,1.8005153433278124e-30,6.978462491139842e-28
Sept7,-0.2331245,3.638181435939934e-09,2.794190406054145e-07
Hspa5,-0.108839,0.0023952513103794046,0.05197820096195723
Ncl,-0.090409406,0.004330908111430161,0.08410532152735521
B4galnt1,-0.094914,0.019585248293676423,0.2788015647455008
Set,-0.05839874,0.1846465106725098,1.0
Atp5g3,-0.06506941,0.0019817604564600143,0.04433291243941288
Zfp36l1,0.015044756,0.8381274464406324,1.0
Eif4a1,-0.12264738,0.00032134280384031887,0.009265569496198537
Nab2,0.39542666,8.118423437176728e-07,4.228176406374605e-05
Tuba1b,0.05258262,0.9868474460025604,1.0
Ran,-0.027478188,0.03661317675879883,0.4460491256302202
Ephx1,-0.49140778,4.571649931511712e-12,4.761944859910887e-10
Cd69,0.18431695,0.005682008551009401,0.10371999398808616
Ptprc,-0.13786815,1.2480657607876943e-09,9.952279411142446e-08
Slc25a5,-0.15608266,8.334694658989293e-07,4.313851589649551e-05
Itm2a,-0.7873524,5.2490783848874956e-21,1.1983717857881506e-18
Egr1,0.521306,2.1181223678576443e-05,0.00085267215900279
Npm1,-0.068167515,0.0006212324310739346,0.016202597333768692
Hnrnpa2b1,-0.0977421,1.1214376997369442e-05,0.0004707778514815091
Tubb5,-0.049422838,0.015091400771697992,0.22948292450831997
H3f3a,-0.21628597,6.87512598511896e-15,9.391872923605949e-13
Pfn1,-0.06701954,0.0002167808551039674,0.0065928279765743066
Ybx1,0.5624999,2.8217389838488235e-23,7.125318470427953e-21
Mif,-0.2255581,4.37289896521364e-07,2.429291138475017e-05
Rap1a,0.14129764,0.021649428867961323,0.301680084877461
Id2,-0.26463312,0.002418484919048829,0.05234606449463349
Ptprcap,-0.20868243,2.508517232386002e-14,3.266167827730087e-12
Cd2,-0.2604827,4.692257607080761e-12,4.828628925060234e-10
Pa2g4,-0.15564975,0.00782608937929693,0.13418683703226608
Hspe1,0.08822026,0.5711036744545259,1.0
Hsp90aa1,-0.010406018,0.5546436867298086,1.0
Ranbp1,-0.104141325,0.0324901652157121,0.40928276151553883
Nfkbid,0.056223407,0.4218803545676456,1.0
Tagap,0.2716497,0.002339572484115329,0.05090250002645701
Hspa8,0.28909153,3.166246844486347e-20,6.765214091052495e-18
Hnrnpa3,-0.080911994,8.732813354672275e-05,0.0030384356444460993
Tgfb1,0.63544756,3.0018466761043017e-19,5.885738435759329e-17
Hnrnpa1,-0.14610672,0.00020104323288430378,0.0062278559837357006
Fbl,-0.13032709,0.004865397020518523,0.09110865926287832
Cycs,-0.04042514,0.1726860878850367,1.0
Erh,-0.070932545,0.007671705039649664,0.13208330185000133
