gene,logfoldchange,p_value,adj_p_value
Nr4a1,0.63309807,9.052857849104804e-08,2.425641943941811e-06
Ptma,0.8723106,3.058672725666542e-125,6.371979955744824e-122
Cd5,0.19672135,0.07705226325164688,0.4897608769458226
Hsp90ab1,1.1870798,1.5171171138960905e-130,3.6120391171703204e-127
Eif5a,1.3643489,9.04935490531903e-117,1.6757394316894107e-113
eGFP,0.7949403,1.6911577812393114e-12,7.764417515739495e-11
Ptpn6,0.69892067,1.0852587669991453e-15,6.482767960862995e-14
Id3,-0.23642778,0.25605943550363985,1.0
Cd6,0.22266349,0.02413414023170208,0.19563209197546053
Tnfrsf9,9.317295,2.2250738585072014e-308,2.2250738585072014e-308
Nfkbia,-0.41421166,3.4071878815840167e-06,7.08032334594504e-05
Dusp2,-1.1496962,4.11363723049959e-35,8.789471549167457e-33
Sept7,0.46587846,2.6695484930596726e-11,1.0746544730756644e-09
Hspa5,-0.16550052,0.0047844522520227376,0.048918822841847204
Ncl,1.3106178,1.5877810511605024e-66,9.450699642371762e-64
B4galnt1,1.6051595,4.404696343812899e-109,6.673515387816889e-106
Set,2.0685554,6.346190774814949e-99,8.813801287755494e-96
Atp5g3,0.7218453,2.5969754391955917e-53,1.0820298167408433e-50
Zfp36l1,-0.8725622,7.97238719376409e-35,1.6818709490034472e-32
Eif4a1,0.43078333,3.0333454800787744e-10,1.0895201674782943e-08
Nab2,-0.29107267,0.05991481691344977,0.40607577823487345
Tuba1b,1.2794495,4.802524331189177e-78,4.0019435251799414e-75
Ran,1.2145151,1.888711987383304e-68,1.1658249622863015e-65
Ephx1,1.1181178,3.84260615267286e-24,4.416612009685923e-22
Cd69,-2.6558456,3.000966327574112e-145,1.0002820963070031e-141
Ptprc,0.09778994,0.10952175910758791,0.6384363893973627
Slc25a5,0.6201837,1.2333486597954246e-26,1.684835144602504e-24
Itm2a,1.0309894,6.008843747584264e-16,3.681742275633799e-14
Egr1,-4.820021,2.892538464190495e-223,1.606901534806626e-219
Npm1,1.0725886,5.388007649230996e-94,6.907425806314136e-91
Hnrnpa2b1,0.24459806,3.5771034291581917e-09,1.1508881418986568e-07
Tubb5,0.78519577,7.235458143519625e-45,2.192475371270874e-42
H3f3a,0.29099843,3.0378255790010165e-12,1.3500906959901585e-10
Pfn1,-0.095612444,2.500086533416742e-05,0.00043767271182692673
Ybx1,1.2442453,1.903995965944537e-63,1.0577332256143884e-60
Mif,1.4069295,9.382761470208926e-78,7.446338222023903e-75
Rap1a,0.12244424,0.2015562893967835,0.9764933485717424
Id2,0.2586262,0.026048725262390826,0.2083148057691965
Ptprcap,0.13029204,0.4389843565810827,1.0
Cd2,-0.100722365,0.013743791759643128,0.12248878794984619
Pa2g4,1.4043666,9.71717223854022e-49,3.3738831776564853e-46
Hspe1,1.5143199,3.713070371772336e-82,3.8676269259973595e-79
Hsp90aa1,0.9029119,9.799987706427198e-27,1.3610549592942974e-24
Ranbp1,1.2764285,5.9397133490032516e-49,2.1061970781805997e-46
Nfkbid,-1.6575395,4.2694540793485376e-32,7.734208878958992e-30
Tagap,-1.5326841,3.4443997453233913e-28,5.218578741414513e-26
Hspa8,0.26592612,2.1990947423069043e-08,6.441144635375548e-07
Hnrnpa3,0.4886146,1.6584903116396476e-25,2.093969661650482e-23
Tgfb1,0.39773402,0.00016378068379589944,0.0023859867798448078
Hnrnpa1,0.89896613,5.384546650320237e-36,1.1965180596564942e-33
Fbl,1.281723,1.7081986732798964e-56,7.908010858022987e-54
Cycs,0.58122355,5.022992967627219e-13,2.4194566704761632e-11
Erh,1.0544049,9.440270032349687e-52,3.745989056169997e-49
Izumo1r,0.63479453,2.2692107406498098e-07,5.730100939949959e-06
Rpl41,0.6494852,3.4551308536604425e-50,1.3087093365251122e-47
Sms,1.4862808,1.0011799782272828e-36,2.2857076050871087e-34
Grasp,-0.49945885,0.010896529023345088,0.10005595190251748
Srgn,-0.84615785,4.040558691026025e-20,3.525651892389515e-18
Rgs10,0.2679458,0.00041792465378319877,0.005594483758996619
Gpr183,-0.34235263,0.010067299642188218,0.09326382203263416
Prkch,-0.1143603,0.02725756904961667,0.2159100027475815
Serbp1,0.829947,7.65424416139996e-44,2.199407468860202e-41
Srsf2,0.4443436,1.1259897844753472e-11,4.71501149448898e-10
Hspd1,1.6581727,6.220918497375466e-54,2.658405837878449e-51
Ier5,-0.4012252,9.964027018653553e-06,0.0001902181836115465
Eif1,-0.17939784,5.477352391370695e-07,1.3040793564940572e-05
Rbbp7,0.8620238,2.606129826334874e-19,2.1501861230543077e-17
Gimap5,-0.06379074,0.6845642189140841,1.0
Clec2d,0.4413276,1.0023988275638138e-07,2.6517426762188125e-06
Hnrnpu,0.5019661,1.113376269049706e-14,6.268759763507567e-13
Tnfrsf4,2.2108197,2.0092213746341127e-24,2.409041973356268e-22
Lcp2,-0.49348813,7.434472517681976e-10,2.5652778256664145e-08
Ndfip1,0.27042657,0.0020831117562818734,0.02371389380477712
Hnrnpab,0.49292466,1.367032939103674e-09,4.621292284604834e-08
Sfpq,0.3799721,2.6451245279655983e-05,0.00046112599773090647
Phb2,0.7227524,1.0111797927144198e-17,7.2018471903327e-16
Egr2,-9.120833,2.2250738585072014e-308,2.2250738585072014e-308
St13,1.2617683,1.1011015976502872e-35,2.4145998982157482e-33
Snrpf,1.1889651,1.1796361274578225e-46,3.640706611150383e-44
Bcl2a1b,-0.34805292,0.13700673009297626,0.7479625823177237
Nop58,1.1018509,1.648175891662401e-24,2.0197426037092336e-22
Cd200,1.2250878,9.101565247745174e-14,4.667282659043725e-12
Ier2,-2.1550763,3.1046619106088966e-131,8.623715900367978e-128
Ddx21,0.85041,6.769368472831656e-17,4.530855219606923e-15
Fubp1,0.57257086,3.0748832075690146e-12,1.3629256259932233e-10
Bzw1,0.40076837,2.1927046596055185e-07,5.545313483609343e-06
Il2rg,-0.17569229,0.0019651177060274225,0.022524519730848024
Jarid2,-0.16255388,0.2077430238638318,0.9958783193802145
Ppia,0.33188173,4.2995616958234723e-47,1.3780095235114228e-44
Apex1,1.8132893,7.07112583494757e-37,1.68353404521766e-34
Kdm6b,-0.21757357,0.3217390844909306,1.0
Snrpd1,0.8310041,2.2450036104148185e-18,1.7084579986837153e-16
Nhp2,1.2591537,1.871339673927118e-28,2.8877543523767915e-26
G3bp1,1.017586,4.017884290877345e-31,6.903305112552767e-29
Il6st,0.23675609,0.018280609445287054,0.1556794261702371
Ldha,0.04036875,0.08354596799183228,0.51993170371616
Cct3,1.2465584,3.742947337067147e-33,7.253483758088496e-31
Ccnd2,0.92690337,4.332475893572482e-30,7.010198373036795e-28
Snrpe,0.6710063,2.772643569537852e-26,3.6384943094423504e-24
Impdh2,1.1494809,7.537841232699367e-27,1.0556778317997282e-24
Relb,0.9327521,2.7903482042761977e-06,5.875470646076738e-05
Nme1,1.1247746,2.0080303692047349e-25,2.5162281303132415e-23
Phb,1.6950586,3.221138471828249e-51,1.2484533435230139e-48
Eif2s2,0.6541369,8.948990711339216e-14,4.6032061479993635e-12
Nfkb2,1.3668364,2.5207768334336184e-11,1.0196909394661332e-09
Cct8,0.7347406,3.7630068524797645e-21,3.6042685174383764e-19
Syncrip,0.80722153,3.009148695393782e-13,1.466388074778736e-11
Mrps6,1.2823119,2.855209615658381e-19,2.3325942869883617e-17
Trac,-0.025134448,0.49781736079715433,1.0
Rgs3,0.49820888,0.00014788306033899725,0.002184945996107915
Mrto4,1.1698841,8.28834559636157e-21,7.507259114617496e-19
Larp7,0.8964539,4.045653024753204e-11,1.5864671367185152e-09
Cd82,1.0203106,9.554636809313328e-12,4.021150935959998e-10
Hnrnpdl,0.40101215,1.3377908534700153e-06,2.984688402132701e-05
Prmt1,0.9548317,5.754099970194751e-21,5.29822265763899e-19
Mat2a,0.06425277,0.5376442664756798,1.0
Nolc1,0.6803097,7.933041437268918e-09,2.4483716406208105e-07
Gnl3,0.9174841,1.9336031116939314e-12,8.733178715309231e-11
Cct5,0.9407895,1.1202544045519604e-29,1.7952076832945165e-27
Rilpl2,-0.82123196,2.11023625163094e-05,0.00037533828569563763
Rnf19a,0.17980614,0.048915867395130326,0.3447069116309691
Hmgn1,1.1020412,4.034922805601182e-42,1.1023938275106443e-39
Gar1,1.1978185,3.851600706535597e-21,3.668044421435558e-19
